,centroid,clusters
28,discrete symmetry,"Cdiscrete symmetry, Discrete Symmetries, Discrete symmetry, Idiscrete symmetry, Mdiscrete symmetry, Pdiscrete symmetry, Tdiscrete symmetry, areadiscrete symmetry, assume symmetry, definable asymmetry, discrete elements, discrete symmetries, discrete symmetriesblack, discrete symmetriesdiscrete, discrete symmetriesnegative, discrete symmetry, exchange symmetry, fielddiscrete symmetry, holediscrete symmetry, manifestly symmetric, massdiscrete symmetry, observed asymmetry, ofdiscrete symmetry, spacetime symmetry"
29,acceleration,"accelerated motion, accelerating, acceleration, accelerationglobal, accelerationlocal, accelerations, acceleratorquantum, acceptable solution, accumulation, accumulations, cancellation, cancellations, decelerating, deceleration, mass acceleration, upward acceleration"
30,motion,"action, action', adoption, emission, horizon, mention, motion, motions, motive, notion, notions, photon, portion"
31,consequence,"Consequently, Hans Reichenbach, consequence, consequences, consequent, consequent gain, consequently, costs whenever, direct consequence, obvious consequence, simple consequence, subsequent, void consequent"
32,principle,"Principle, fieldprinciple, forceprinciple, lawprinciple, mass principle, massprinciple, plausible, principle, principles, spaceprinciple, strikingly simple, theprinciple"
33,fundamental,"fundamental, fundamentally, rudimentary"
34,equivalence,"equivalence, equivalences, equivalent, equivalently, lawequivalent"
35,microscopic,"macroscopic, microscopic, microstates"
36,context,"conceal, concept, conduct, contact, content, context"
37,thermodynamics,"chromodynamics, seethermodynamics, sourcedynamic, thermodynamic, thermodynamically, thermodynamics, thermodynamicstime"
38,equations,"calculations, deviations, educational, emanating, equation, equations, equations allows, equationstime, equationsvacuum, estimations, fluctuations, foundations, gravitons, key questions, limitations, locations, occasions, operations, perturbations, quantities, quark turns, questions, situation looks, situations, violations"
39,existence,"epistemology, evidence, existed prior, existence, exists inside, insistence"
40,universe,"closed universe, empty universe, multiverse, universal, universally, universe, universe's, universelocal, universetime"
41,relativity,"Relativity, activity, negativity, relatively, relatively late, relativistic, relativity, relativity allowed, relativized, sensitivity"
42,positive mass,"positive mass, positive masses, positive momentum, positive normal, positive sign, positive space, sufficient mass"
43,signs,"Bidir, assigned, assigning, gives, higher, insights, isn't, opens, shows, sides, sign, signal, signals, signs, signs due, signs needs, single, sizes, sorts, stages, synonym, turns, witness"
44,possibility,"impossibility, likely possibility, mere possibility, plausibility, positivity, possibilities, possibility, possibility opened, possibility raised, possibly, probability, real possibility, stability, variability"
45,event horizon,"event horizon, event horizonblack, event horizondiscrete, event horizonnegative, event horizonquantum, event horizons, event horizonsecond"
46,reference,"beforehand, difference, differences, frequency, preferable, preference, reference, references, represented, seem preferable"
47,appear,"actual, apparent, appeal, appear, appear obvious, appearances, appeared, appeared odd, appearing, appears, clear, happen, happens, nuclear, paper, polar, spread, upper"
48,requirement,"basic requirement, environment, freedom requirement, mere requirement, priori reject, refinement, require entropy, require unlikely, required binary, required shift, requirement, requirementgeneral, requirements, requires entropy, severe disagreement, similar requirement"
49,repulsive,"exclusive, fieldrepulsive, net repulsive, repulsion, repulsive, repulsive field, repulsive voids, repulsiveness, requisite, results achieved, results derived"
50,appropriate,"appear appropriate, appears appropriate, appropriate, appropriate type, appropriately, appropriateness, fully appropriate, inappropriate, inappropriately, inappropriateness, seem appropriate"
51,measure,"beauty, measurable, measure, measured, measurement, measurements, measures, measuring, medium, permute, pressure, steady source"
52,negative action,"decisive factor, negative action, negative portion, negative portions, positive action, remaining action, systematic rejection"
53,space intervals,"Planck interval, path integrals, shortest intervals, space interval, space intervals, space intervalsdiscrete, space intervalstime, space reversal"
54,entropy,"breakthrough, contrary, controversy, enormous, entirely, entropy, entropytime, extreme, extremely, isotropic, unknown"
55,exist,"axis, exhaust, exist, existed, existing, exists, resist, revisit"
56,allows,"allow, allow progress, allow remote, allowed, allowing, allows, arrows, axioms, borrows, flows, gas clouds, mass allows, pull-overs, well-known"
57,occur,"obscure, occupied, occupies, occupy, occur, occurs, voids occur"
58,necessarily,"mass necessarily, necessarily, necessity, needed clarity, unnecessarily, unnecessary"
59,gravitational interaction,"gravitation integrating, gravitational acceleration, gravitational attraction, gravitational attractions, gravitational interaction, gravitational interactions, gravitational potential, gravitationally interacting, gravitationlocal inertial, non-gravitational interaction, non-gravitational interactions"
60,inertial mass,"inertia based, inertial behavior, inertial forces, inertial frame, inertial frames, inertial mass, inertial masses, intermediary material, marginal impact, primordial soup, underlying basis"
61,assume,"assemble, assume, assumed, assuming, assure, issue, passage, passive"
62,conclusion,"Conclusion, collision, conclusion, conclusions, confusion, crucial revision, exclusion, intrusion"
63,constraint,"Cconstraint, Tconstraint, constant, constrain, constrained, constraining, constraint, constraint exists, constraint usually, constraints, constrainttime, contains, contrast, massconstraint, theconstraint, timeconstraint, withconstraint"
64,particular,"articulate, beautifully, circular, corpuscular, particular, particularities, particularity, particularly"
65,gravitational repulsion,"gravitational behavior, gravitational radiation, gravitational repulsion, gravitationally repulsive, massgravitational repulsion, spacegravitational repulsion, voidsgravitational repulsion, withgravitational repulsion"
66,significant,"insignificant, scientific enquiry, significance, significant, significantly"
67,angular,"angular, irregular, overall angular, regular, seeangular, singular, spin angular, spin seeangular"
68,according,"According, absorbing, accordance, according, accounting, adopting, answering, choosing, enforcing, harboring, mass according, occupying, occurring"
69,energy bodies,"charge bodies, charged bodies, colliding bodies, energy according, energy becomes, energy belonging, energy bodies, energy bodiesgeneral, energy boson, energy bound, energy budget, energy implies, energy obeying, energy obeys, energy problem, energy produces, energy reduces, energy remains, energy sources, energy today, energy varies, energyvoids, external forces, material bodies"
70,potential,"attention, decreased potential, essential, essentially, gain potential, lose potential, potential, potentially, third potential"
71,vacuum energy,"mattervacuum energy, occupy energy, problemvacuum energy, statevacuum energy, useful energy, vacuum consequent, vacuum energy, vacuum energytime, vacuum energyvacuum, vacuum energyvoids, vacuum pulling, vacuum requires, values nearer, withvacuum energy"
72,void,"Unidir, Voids, avoid, avoided, bold, build, cloud, cosmic, devoid, exotic, joint, logic, odd, rapid, rid, soup, valid, void, voids, withvoids"
73,quantum,"quantity, quantum"
74,invariance,"Invariance, covariance, covariant, importance, invariable, invariably, invariance, invariant"
75,reversing,"addressing, decreasing, emerging, everyone, everything, evolving, exerting, former single, governing, non-vanishing, observing, overwhelming, precession, preexisting, preserving, preventing, referring, rejecting, releasing, repelling, resulting, reversible, reversing, rules governing, traveling, travelling, traversing, witnessing"
76,applying,"Applying, analyzing, annoying, appealing, apply using, applying, applying PTC, building, happening, implying, laws applying, mapping, specifying"
77,assumption,"absorption, absurdities, assumption, assumption appears, assumption offers, assumptions, basic assumption, fall motion, suspicion, usual assumption"
78,validity,"Paul Dirac, ability, ambiguity, invalidate, majority, unlikely, valid exactly, validated, validity, validity opens, velocity, viability, vicinity"
79,hole event,"beyond event, hole event, hole vary, hole's event, holes exist, holesecond, lose heat"
80,hypothesis,"hypotheses, hypothesis, hypothetical"
81,physical parameters,"individual parameters, physical attributes, physical parameter, physical parameters, various parameters"
82,antiparticles,"anti-particles, antimatter particles, antiparticle, antiparticle simply, antiparticle's, antiparticles, antiparticlestime, exist particles, mass particle, mass particles, quantum particles"
83,energy portion,"energy direction, energy electron, energy fermions, energy particle, energy photon, energy photons, energy portion, energy portions, energy positive, energy virtual, finally mention, lesser proportion, reverses positions"
84,interpretation,"inherited motivation, interpretation, interpretationblack, interpretations, interpretationtime, investigation, reinterpretation, uninterrupted fermion"
85,opposite energy,"communicates energy, opposite effect, opposite effects, opposite energies, opposite energy, opposite growth, propagated energy"
86,backward,"background, backseat, backward, fall upward, sign backward"
87,gravitational mass,"computational methods, gravitation gravitons, gravitational dynamics, gravitational mass, gravitational masses, gravitational physics, gravitational pull"
88,variation,"Earth-Moon, Variation, Variations, addition, approximation, basic action, creation, duration, limitation, net variation, operation, polarization, quantization, radiation, satisfaction, usual friction, variable, variables, variabletime, variation, variational, variations, variations remain, varieties, violation"
89,consider,"alongside, bits per, coincide, coincidence, collide, confidence, confident, confused, consider, considerable, considered, considering, focused beam, lopsided, reconsidering, spend considerable"
90,parameter,"dramatic, harvesters, mass parameter, paragraphs, parallel, parameter, parameters, travelers"
91,inside,"aside, besides, else inside, entire, indice, inside, insight, insist, misguided, size inside, unlike"
92,recognized,"decomposed, direct quantized, recognize, recognized, recognized validity, recognizes, recognizing, reconcile, unrecognized, unrecognized issues"
93,seem,"deep, meet, seek, seem, skewed, speed, step, sum, system, term, today seem, unseen"
94,mathematical,"Mathematical, Mathematically, makes electrical, mathematical, mathematical trick, mathematically, mathematics, matteraxioms"
95,absolute,"Absolute, absolute, absolutely, absoluteness, abstruse, allows absolute, assumed absolute, mass absolute, obsolete, seeabsolute"
96,rise,"Ctime, Ernst, Mtime, Ptime, Ttime, arise, arises, arose, else, price, raise, raised, raises, rise, rises, size, twice, vice, visible, worse"
97,energy density,"average density, cosmic density, energy arising, energy densities, energy density, energy directly, energy doesn't, energy missing, energy territory, extreme sensitivity, lesser density, low density, readily identify, underdensity, unlike velocity"
98,energy negative,"Jean-Pierre nnnegative, carry negative, densitiesnegative, energies relative, energy bodiesnegative, energy magnitude, energy mythsnegative, energy negative, energy related, energy relative, energy signnegative, energy theoremsnegative, energyaxioms negative, energycoordinative, energynegative, entropynegative, field energynegative, ignored negative, inertianegative, introduce negative, occupy negative, overall negative, precisely negative, prevents negative, symmetrynegative, tensorsnegative, thermal energynegative, truly negative, vacuum energynegative, versus negative"
99,gravitation Planck,"gravitation Planck, gravitation-related, gravitationblack"
100,holes,"Birkhoff's, Hooft, Wheeler, bodies, body's, bold step, choices, clouds, coalesce, comes, cooled, dilemma, doubles, doubts, evolves, focus, goes, governs, helped, helpful, hole, hole forms, hole grows, hole mass, hole's, holes, hopeful, hopeless, looks, loses, low unless, model, models, molecules, moves, nucleus, ones, people's, photons, pointless, problems, shortest, shown leads, solely, tables, types, unfolds, unless, values, works, wormholes"
101,amount,"Important, accounts, amount, amounted, amounts, front, surmount"
102,average,"advantage, advantages, arrange, average, averaged, averaged weak, favorable, late stage, overall, voyage, wavelike"
103,physical properties,"Historical perspective, actual properties, geometrical properties, historical perspective, inertial properties, mechanical properties, metaphysical polarities, metric properties, physical observables, physical principles, physical processes, physical properties, physical property, physical quantities, practical perspective, similar properties, spatial properties"
104,alternative,"Alternative, alternative, alternatively, latter alternative, matternegative, viable alternative"
105,equilibrium,"disequilibrium, equilibrium, equilibrium exchanging, equilibrium exists, equilibrium involved, equilibriumblack, equilibriumquantum, equilibriumsecond, near-equilibrium, non-equilibrium"
106,antimatter,"altogether, antimatter, antimatter falls, antimattertime, bangmatter, conditionsmatter, defined antimatter, energymatter, estimating, expansionmatter, matter-antimatter, raritymatter, timematter, ultimate, ultimately, weaknessmatter, withmatter"
107,provide,"else provide, improving, program, provide, provide formal, provided, provided ample, provides, providing"
108,expected,"depicted, directed, ejected, exactly, exerted, expect, expected, expected outcome, expected value, expelled, expense, explored, extended, neglected, reflected, rejected, specter, subjected, suspected, unexpected, unexpectedness"
109,freedom bidirectional,"freedom bidirectional, freedom direction, freedomunidirectional, viewpoint seebidirectional"
110,understood,"underestimated, understand, understood, understood presently"
111,freedomblack hole,"fieldblack hole, freedomblack hole"
112,nevertheless,"Nevertheless, field nevertheless, mass nevertheless, nevertheless"
113,potential energy,"identical energy, potential category, potential energies, potential energy, potential energyenergy, potential energynegative, potential problem, potential problems, twentieth century"
114,real,"Feynman, Greek, area, areas, arrival, beam, break, breaks, briefly, careful, crystal, deal, deals, denial, final, flat, freely, glad, global, goal, greatly, heat, ideal, ideas, lead, learn, level, local, mutual, prevail, probably, radial, radical, radius equal, reader, real, reality, realm, recall, regard, rely, removal, repel, repels, residual, result, results, reveal, shell, text, tidal, total, useful, usual, vital, weak"
115,determined,"determine, determined, determines, fully determined, hole determines, predetermined, undetermined, vertex mixed"
116,spin,"Main, fashion, gain, shift, shown, six, spend, spent, spin, spins"
117,operations momentumdiscrete,"operations currentsdiscrete, operations dependenciesdiscrete, operations gravitationdiscrete, operations momentumblack, operations momentumdiscrete, operations momentumtime, precession movementdiscrete"
118,semi-classical,"current classical, hole semi-classical, revised classical, semi-classical, semi-classical level, singular classical"
119,explain,"expanding, explain, explainable, explained, explaining, explains, explicit, explore, exploring, expulsion, plain, unexplained"
120,objects,"aspects, effects, object, object using, objection, objections, objects, objects taking, subjects"
121,field equations,"basic equations, field arises, field equation, field equations, field equationsvacuum, field exerting, field mediating, fields emanating, final equations, include gravitons, related equations"
122,gravitational forces,"computational purposes, gravitation comes, gravitational charges, gravitational context, gravitational effects, gravitational forceCoriolis, gravitational forceMach, gravitational forcelocal, gravitational forces, gravitational forcetime, gravitational influence, gravitational properties, non-gravitational forces"
123,magnitude,"Magnetic, altitude, amplitude, amplitudes, attitude, equal magnitude, fixed magnitude, magnetic, magnitude, magnitudes"
124,energynegative energy,"energykinetic energy, energynegative energy, entropynegative energy, evidencenegative energy, fieldsnegative energy, inertianegative energy, permanencenegative energy, tensorsnegative energy, theorynegative energy"
125,gravitation elementary,"gravitation electromagnetic, gravitation elementary, gravitation fluctuating, gravitation momentum, propagating elementary"
126,homogeneous,"homogeneous, homogeneous cosmic, homogeneous vacuum, homogeneously, inhomogeneous, seehomogeneous, simultaneous"
127,produce,"by-product, produce, produced, produces, producing, product, profound, reproduce"
128,spacetime,"bosontime, concepttime, forcetime, hole spacetime, lifetime, scaletime, seetime, space filled, spacelike, spacetime, spacetime-, spacevoids, timetime"
129,temperatures,"imperatives, temperature, temperature gas, temperatures, temperaturesecond"
130,toward,"Gerard, Richard, downward, drawn toward, forward, grows larger, nowadays, outward, standard, standards, stopped, temporary, today, today's, toward, toward smaller, toward zero, upward"
131,elementary unit,"elementary Planck, elementary unit, elementary units, elementary volume, elements needed, seeelementary unit"
132,negative energies,"Negative energies, negative densities, negative energies, negative energyaxioms, negative energynegative, negative frequencies, negative inertial, negative stress-energies, reach energies, seenegative densities"
133,energy pair,"energies past, energy flow, energy gain, energy mater, energy pair, energy zero, nearby void"
134,approach,"Approach, approach, approaches, approaching, modern approach"
135,arbitrarily,"Contrarily, antigravity, arbitrarily, arbitrarily low, arbitrariness, arbitrary, arbitrary motions, arbitrary rule, chosen arbitrarily, contrarily, ordinarily"
136,bound,"boson, bound, boundaries, boundary, founded, sound"
137,center,"Nickner, September, center, centered, central, century, counter, deeper, enter, enters, neither, nickner, recent paper, vector, weaker, whenever"
138,experience,"beginner audience, empty except, expedient, experience, experienced, experiences, experiencing, mass experiences"
139,filled,"failed, field, filled, finally add, fixed, fueled, fulfilled, singled, viewed"
140,handedness,"Handedness, added benefit, fondness, handedness, handedness seem, handednessblack, handednesstime, lopsidedness, preferred handedness"
141,observational,"conservation arising, conservation laws, direct observational, non-relational, observable total, observation, observational, observational data, observationally, observations, observe anomalous, valid observational"
142,opposite action,"Opposite action, opposite action, opposite amount, opposite conclusion, opposite direction, opposite directions, opposite variation, opposite variations"
143,redefined,"level fixed, open-minded, predefined, redefined, redefining, redshifted, refined, region destined, source defined, well-defined"
144,tensorsgeneral,"constantgeneral, densitiesgeneral, factorsgeneral, featuresgeneral, geodesicsgeneral, metricsgeneral, pull-oversgeneral, structuregeneral, tensorgeneral, tensors figuring, tensorsgeneral, termsgeneral, theoriesgeneral, theory mapsgeneral"
145,tensorsgeneral relativistic,"consequencesgeneral relativistic, densitiesgeneral relativistic, energygeneral relativistic, factorsgeneral relativistic, featuresgeneral relativistic, geodesicsgeneral relativistic, metricsgeneral relativistic, pull-oversgeneral relativistic, tensorgeneral relativistic, tensorsgeneral relativistic, termsgeneral relativistic, theoriesgeneral relativistic, underdensitygeneral relativistic, viewpointsgeneral relativistic"
146,continuous,"chosen unique, conspicuous, contains using, continue, continues, continuity, continuous, continuously, continuum, continuumvacuum, discontinuity, discontinuously, fictitious, single continuous, spontaneous, spontaneously"
147,currently,"Current, Currently, apparently, carry exactly, clear exactly, correctly, current, currently, currents, curved paths, directly, frequently, inherently, sufficiently"
148,indirect,"bodies react, direct, incipient, incorrect, indirect, indirectly, nineteenth, obtain direct, weak indirect, weaker indirect"
149,informationblack,"Hawking radiationblack, absorptionblack, conjugation Cblack, formulationblack, formulations lacking, hole informationblack, horizonblack, information allows, information appears, information gain, information loss, informationblack, informationblack hole, informationt, informationt Hooft"
150,involve,"evolve, evolved, favor involves, incomplete, invalid, invoke, invoked, involve, involved, involves, involving, microwave, unsolved"
151,applied,"accomplished, applied, applies, captured, earlier, gas cloud, happened, implied, implies, mass applied, published, rule applies"
152,attributed,"atomic nuclei, attempted, attributable, attribute, attributed, attributes, attributing, attribution, distributed, indice attributed"
153,difficulty,"difficult, difficult problem, difficulties, difficulty, difficulty arises, difficulty revealed, latter difficulty, major difficulties, real difficulty"
154,elevator,"detector, elevator, elevators, operators"
155,meaningful,"Meaningful, faithful, highly meaningful, learn useful, meaningful, meaningful unit, meaningfully, meaningless, sign Meaningful"
156,argument,"adjustment, agreement, argument, argument shows, arguments, arrangements"
157,combined,"accompanied, combine, combined, combined PTC, combines, combining, compared, composed, confined, convinced, single combined"
158,formulation,"Information, fluctuation, formation, formations, former idealization, formulated, formulating, formulation, formulations, formulationtime, informed authors, permutation, revised formulation"
159,inertial gravitational,"Generalized gravitational, antiparticlesgravitational, classical gravitational, considering gravitational, directed gravitational, enormous gravitational, forceinertial gravitational, generalized gravitational, identical gravitational, indirect gravitational, inertial gravitational, interactions withgravitational, interacts gravitationally, invisible gravitationally, lawinertial gravitational, massinertial gravitational, potential energygravitational, sphere analogygravitational, spherical voidsgravitational, theinertial gravitational, universal gravitation"
160,local inertial,"analogylocal inertial, coinciding inertial, draggingglobal inertial, favorable initial, fieldlocal inertial, forcelocal inertial, geometryinertial, global inertial, local inertial, masslocal inertial, rotating inertial, taking inertial, universelocal inertial"
161,theory observer,"energy observer, energy observers, external observer, remote observer, theory observer"
162,elementary particle,"elementary fermions, elementary particle, elementary particles, elementary physical, elementary properties, elementary surface"
163,original,"Dirac's original, artificial, diagonal, empirical, forming central, horizontal, logical, marginal, official, ordinary, origin, original, original single, originally, originate, originates, originating, originators, origintime, rational, strikingly"
164,definite,"decisive, defining, definite, definitely, definiteness, designate, dominate, finite, indefiniteness, infinite, infinitely, infinity, infinity'"
165,sign reversing,"abandon everything, scientists rejecting, sign changing, sign preserving, sign reversal, sign reversing, simply reversing, spin retracing, spin reverses"
166,tensors,"Tensors, authors, efforts, engenders, factors, lessons, methods, mirrors, network, networks, reasons, renders, tensor, tensors, tensorsPetit, territory, vectors"
167,conclude,"Dirac concluded, conceive, conclude, concluded, concordance, confuse, include, preclude"
168,describe,"bodies collide, describe, described, describes, describing, desirable, discernible, indiscernible, type described"
169,electromagnetic,"electromagnetic, electromagnetic wave, electromagnetism, electrostatic, field energykinetic, hole electromagnetic, involving electromagnetic, range electromagnetic"
170,explanation,"exact location, examination, examination shows, expansion, expectation, expectations, explanation, explanation works, explanations, exploration, providing explanations, reexamination, whatever explanation"
171,pairs,"affairs, favors, pair, pairs, papers, parts, paths, radius, taxpayers"
172,rule,"blue, due, nuclei, null, pull, pure, puzzled, relief, role, roughly, rule, ruled, rules, run, struggled, style, subtlety, tackle, trouble, truly, type, value"
173,collapse,"collapse, collapseblack, collapsed, collapses, collapsing"
174,corresponding,"condescending, correspondence, corresponding, correspondingly, non-spinning, responding, stopped working, vary depending"
175,equivalence principle,"consistency principle, equivalence discussed, equivalence principle, motivated principle"
176,non-gravitational charges,"Non-gravitational charges, non-gravitational charge, non-gravitational charges"
177,require,"acquire, acquires, blue quark, enquiry, rebuild, require, required, requires"
178,field theory,"cosmology theory, field analogylocal, field due, field energy, field grows, field theories, field theory, field theorynegative, field theoryspecial, field theoryvacuum, field vector, fieldstrong, filled uniform, hole theory, modern theory, unified theories, valid theory"
179,hole surface,"bound surface, external surface, hole approaches, hole surface, larger surface, minimum surface, weaker surface"
180,inhomogeneities,"distributed inhomogeneities, infinite velocities, inhomogeneities, inhomogeneity, local inhomogeneities"
181,microscopic configuration,"microscopic configuration, microscopic configurations, microscopic information"
182,field experienced,"field experienced, forces experienced, reference experienced, signs experience, space experienced"
183,reversal symmetry,"irreducible asymmetry, overall symmetry, preserving symmetry, reversal amounts, reversal symmetry, reverses momentum, reversing symmetry, spherical symmetry, spherically symmetric"
184,rotation,"criterion, gestation, location, notation, orientation, relation, rotating, rotation, rotation axis, rotations"
185,structure,"basic structure, complex structures, curvature, defining structure, static picture, strictly, structure, structure shared, structureaxioms, structures, substructure"
186,definition space,"definite despite, definition absolute, definition center, definition imbalance, definition lower, definition polar, definition relativity, definition sign, definition space, definitionblack, definitions actually, idealization simply, unification scale"
187,energy cosmological,"current cosmological, energy cosmological, experimentcosmological, observed cosmological, positive cosmological, reverse chronological"
188,forbidden,"forbidden, forbidden absolute, forbidden net, forbidding, forbids, forgotten, strictly forbidden"
189,mass sign,"action sign, cases spin, chosen sign, gain insight, mass Despite, mass Newtonian, mass bodies, mass pairs, mass planet, mass sign, mass signs, mass smaller, masssecond, what's wrong"
190,operations fundamental,"apparent fundamental, definition fundamental, operations currents, operations fundamental, operations momentum, proposed fundamental"
191,preceding section,"preceding chapters, preceding considerations, preceding equation, preceding results, preceding section, preceding sections, precession motion, precise location, preserving direction, upcoming section"
192,quantum field,"quantized field, quantum field, quantum fields, quantum level, quantum operators, quantum phase, quantum realm, quantum theories, quantum theory, quantum vacuum"
193,reversal Ttime,"residual lateral, reversal Ptime, reversal Tblack, reversal Tmatter, reversal Tnegative, reversal Ttime, reversal defined, reversal despite, reversal occurs, reversal proposed, reversal remains, reversaltime, reverse spatial, travel paradoxtime, traversabletime"
194,stress-energy tensor,"stress-energies, stress-energy entering, stress-energy experienced, stress-energy missing, stress-energy provided, stress-energy related, stress-energy tensor, stress-energy tensors, stress-energy tensorsPetit"
195,transformed,"transferred, transform, transformed, transforming, transforming merely, transpires"
196,behavior,"behaving, behavior"
197,distance,"circumstance, circumstances, distance, distance apart, distances, distant, distinct, disturbances, instance, mistake, resistance, substance"
198,framework,"available framework, emerging framework, existing frameworks, framework, frameworks, trade-off"
199,mechanics,"Reichenbach, dynamics, exchanging, geodesics, machines, mechanical, mechanically, mechanics, mechanicsblack, mechanicssecond, metrics, technical, techniques"
200,pair creation,"exact orientation, pair creation, pair creationblack, pair creationenergy, pair creationmatter, pair creationtime, particle creation, past direction, pay attention, perturbation, unlikely creation"
201,positive definite,"negative definite, positive definite, positive frequencies, positive originates, possibly infinite"
202,affected,"adjusted, affect, affected, affected system, affecting, affects, asserted, effected, far-fetched, manifested, unaffected"
203,bidirectional viewpoint,"bidirectional viewpoint, unidirectional viewpoint"
204,big bang,"bifurcating, big bang, big bangmatter, big mass, figuring, right-hand, stumbling block"
205,decay,"decay, decay', decaying, decays, defy"
206,derived,"Equipped, arrive, arrived, believed, bodies gives, curved, deceived, decoupled, derive, derived, deriving, desired, destined, destroyed, deviated, divided, perceived, perceives, period, periphery, rewritten, serves, short-lived, verified, wherever"
207,energy radiation,"Hawking radiation, density variations, energy motivations, energy radiation, energy traditional, energy transition, energy variations, entropy variation, release radiation, thermal radiation"
208,hole entropy,"allowing entropy, higher entropy, hole entropy, hole entropyblack, hole entropydiscrete, hole entropyquantum, hole strengthens, larger entropy, reduce entropy"
209,hollow sphere,"hollow sphere, isolated sphere"
210,local mass,"hole's mass, local decrease, local frames, local free, local mass, local masses, local rate, local scale, local void, located past, lose mass, repel masses, replaces mass, scale imposes, slowly raise, social programs, total mass"
211,opposite mass,"opposite handedness, opposite imbalances, opposite mass, opposite masses, opposite values, oppositeness"
212,rate,"bare, blame, create, data, date, faced, fact', fate, frame, frames, grand, granted, grave, late, mater, migrate, operate, path, radiate, range, rare, rate, ratio, rotate, save, saved, stated, traces, travel, wanted, wave, write, written"
