,word,clusters
3221,thermodynamics concerning,"thermodynamic concept, thermodynamic conception, thermodynamic constraint, thermodynamics according, thermodynamics coarse-graining, thermodynamics concerning, thermodynamics constraint, thermodynamics spreading"
3222,thermodynamics fluctuationsnegative,"thermodynamics fluctuationsmatter, thermodynamics fluctuationsnegative, thermodynamics temperaturenegative, thermodynamics violationnegative"
3223,thermodynamicsunification scalediscrete,thermodynamicsunification scalediscrete
3224,throatwormhole,"collapsewormhole, instabilitywormhole, throatwormhole, throatwormhole exotic"
3225,timematter creation,"Tmatter creation, bangmatter creation, energymatter creation, problemmatter creationmatter, scalematter creation, time-wasting improvisation, timematter creation, withmatter creation"
3226,tocchapterBibliographyunsrtReferences,tocchapterBibliographyunsrtReferences
3227,totally homogeneous,"completely homogeneous, configured inhomogeneous, effectively homogeneous, initially homogeneous, otherwise homogeneous, overall homogeneous, totally homogeneous"
3228,totally inappropriate,"certainly appropriate, clearly inappropriate, empirically inappropriate, process inappropriately, totally appropriate, totally inappropriate, truly inappropriate"
3229,traditional formulation,"additional information, conventional formulation, original formulation, traditional assumption, traditional cosmological, traditional formula, traditional formulation"
3230,traditional operations,"additional operations, traditional certainties, traditional equations, traditional expectation, traditional expectations, traditional operations"
3231,traditional zero,"traditional CPT, traditional approach, traditional bi-metric, traditional notion, traditional path, traditional ways, traditional zero"
3232,transformations involved,"information involved, transformation involves, transformations involved, transformations involving"
3233,transitional,"additional, mass traditional, traditional, transition, transitional, transitions, vanishing total"
3234,traversable wormhole,"traversable versions, traversable wormhole, traversable wormholes, traversableblack hole, traversablewormhole, traversablewormhole throatwormhole"
3235,treated,"created, creates, greater, oriented, threatened, time-related, trapped, treated, treatment, wrestled"
3236,unavoidable outcome,"counter-intuitive outcome, desirable outcome, remarkable outcome, unavoidable despite, unavoidable feature, unavoidable outcome"
3237,unavoidable requirement,"unavoidable requirement, unavoidable requirements"
3238,unavoidable theoretical,"unavoidable theoretical, unavoidable theoretically"
3239,unchanged parameter,"unchanged parameter, unchanged parameters, unchanged properties, unchanged quantities"
3240,unchanged sign,"change sign, unchanged action, unchanged local, unchanged mass, unchanged physical, unchanged sign, unchanged space"
3241,uncompensated attraction,"compensating attraction, increased attractive, uncompensated Finally, uncompensated attraction, uncompensated external, uncompensated forces, uncompensated gravitational, uncompensated repulsive"
3242,underline,"guidelines, ordertime, uncertainty, underdense, underlies, underline, underlined, underlined Greek, underlying, undermine, undertake, unveiling, upper limit"
3243,undesirable effects,"considerable efforts, non-negligible effect, undeniable validity, undesirable effects"
3244,unidirectional concept,"bidirectional concept, unidirectional concept, unidirectional perception"
3245,uniform density,"uniform continuum, uniform cosmic, uniform density, uniform energy"
3246,unique final,"null final, science finds, unique definite, unique feature, unique final, unique frame, unique inertial, unique predefined, unique probability, unique radial, unique sign, unique single, unique status, uniquely tied"
3247,unique particular,"becomes particularly, single particular, unique particle, unique particular, unique particularity, vacuum particularly"
3248,units corresponding,"exact correspondence, indices corresponding, intervals corresponding, lengths correspond, perfect correspondence, propagators corresponding, unique correspondence, units corresponding"
3249,universe relative,"reversed relative, universal forcematerial, universe occupied, universe relative, universe totally, universenegative"
3250,unlikely phenomenon,"corpuscular phenomenon, many-body phenomenon, unlikely coincidences, unlikely phenomena, unlikely phenomenon, wavelike phenomenon"
3251,useless forms,"abundant forms, useful forms, useless forms"
3252,usual stress-energy,"average stress-energy, irregular stress-energy, theory stress-energy, total stress-energy, usual stress-energy, vacuum stress-energy"
3253,usually denoted,"simply denoted, totally devoid, usually believed, usually denoted, usually drawn, usually granted, usually ignored, usually imposed, usually refer, usually retained"
3254,usually described,"bodies described, briefly describe, eventually described, problem described, usually attributed, usually describe, usually described, usually observed"
3255,variable properties,"invariable property, invariant properties, measurable properties, particle's properties, variable parameter, variable properties, variable property, variable stability, various properties"
3256,varies independently,"applied independently, applying independently, attributed independently, change independently, charges independent, mass independently, masses independently, occur independently, particles independently, varies independently, vary independently"
3257,various degrees,"horizon degrees, various degrees, various discrete, various levels, various masses, various measures, various sizes, various theorems"
3258,version,"ascension, aversion, dimension, fermion, fermion wave, revision, seefermion, tension, version, versions, vision"
3259,viewpoint reverse,"viewpoint allows, viewpoint charge, viewpoint confirms, viewpoint defended, viewpoint involves, viewpoint merely, viewpoint momentum, viewpoint reverse, viewpoints breaks, viewpointsgeneral"
3260,violations occurring,"configurations occurring, directionality occurring, directions occurring, interactions occurring, variations occurring, violating occurrences, violations occurring"
3261,wavefunctions,"fermion wavefunction, fermion wavefunctions, wave function, wave functions, wavefunction, wavefunction seefermion, wavefunctions"
3262,willingly,"building blocks, partly unwillingly, unwillingly, willingly, willingly avoid, willingness"
3263,world-linefermiontime direction,"world-linefermiontime direction, world-linequarkfermiontime direction, world-linetime direction"
3264,flag,"Non-flag, Verlag, claim, flag, flagflag, flags, non-flag, play, polar"
3265,edge,"Edge, Sergei, edge, edge-, edges, else, emerged, free due, huge, k-edge, type, wedge, wedges"
3266,combinatorial,"Buckminster Fuller, Combinatorial, Combinatorics, combination, combinatorial, combinatorially, combinatorics, cosphericalcospherical, datacombinatorial"
3267,hence,"Hence, Sequences, absence, audience, hence, sequence, valency"
3268,cellular,"Cellular, calculate, calculated, cellular, natural cellular"
3269,orientation,"orientation, orientations, representation, shortest thick, triangulations"
3270,polytopes,"Polytopes, Polytopes dual, Polytopes"", n-polytope, n-polytope lies, n-polytopes, polygons, polytopal, polytopal spheres, polytope, polytope Lemma, polytope dual, polytope theory, polytope"", polytopecyclic, polytopes, polytopes"", polytopesFlag"
3271,vertex,"Series, Vertex, Vertex-, kernel, vertex, vertex degrees, vertex sets, vertex-, vertex-edge, vertexD, vertexI, vertexZ, vertices"
3272,fullerenes,"Eulerschen, Fuller's, Fullerene, Fullerenes, Fullerenes"", McMullen's, disk-fullerenes, formulate properties, fullerene, fullerene absence, fullerenes, fullerenes based, fullerenes sufficient, fullerenes using, fullerenes"", fullerenesNumber, fullerenessingular, singuliere des"
3273,Exercise,"Circuits"", Eberhard, Exercise, Experiment, Otherwise, exercise, otherwise, pairwise, piecewise, precisely"
3274,boundary,"Corollary, Journal, Nowadays, Poincare, arbitrary, backward, bottom ray, boundaries, boundary, boundary cycle, boundary cycles, boundary lying, bounded, bounding, bounds, coboubdary, coboundary, fixed boundary, irredundant, jointly, modulo boundary, outer boundary, standard, und Physik"
3275,isomorphism,"cobordism, diffeomorphic, epimorphism, isomorphic, isomorphically, isomorphims, isomorphism, isomorphism implies, isomorphisms, monomorphism"
3276,components,"carbon rings, coefficients, compact torus, complementary, complements, component, components, components contain, components lying, homogeneous, hypothesis, nice opportunity"
3277,canonical,"Canonical, Platonic, Ranganathan, canonical, canonically, chiralchiral, cospherical, cubical, nanofibers"", technical"
3278,connected,"Connected, connected, connecting, contains exactly, disconnected, graph disconnected, suggested, sumconnected"
3279,simple polytope,"Simple polytope, Simple polytopes, complexpolytope, defined polytope, numberspolytope, regular polytope, simple n-polytope, simple n-polytopes, simple polytope, simple polytopes, simple polytopes"", simple polytopesFlag, simplex continue, simplicial polytope, simplicialpolytope, solidpolytope, steps polytopes, subdivisionpolytope"
3280,k-belt,"Freely, Gubeladze, Insert, Modified belt, Nobel, Robert, buckyballs, freely, k-belt, k-beltk-belt, k-belts, k-beltsLet, k-cuts, k-k-beltH, l'-belt, l-belt, r-belt, s-belt, uniquely"
3281,straightening,"Straightening, Straightenings, edgestraightening, straighten, straightening, straightening According, straightening operations, straightforward, straightforward using, strengthened"
3282,operation,"Applying operation, Dover edition, Eberhard's, International, Operation, Operations, Polyederrelationen, Southampton, Thurston, consideration, enumeration, fibration, invitation, iterative, lower arrow, odd permutation, one-to-one, operation, operation simply, operationLet, operationgrowth, operationis, operations, operator, permutation, permuting, pyramids, shorter thick"
3283,path,"Arthur, Gale, ISBN, MAIK, Mat, Math, Math Inst, Nauk, Note, Panov, RFBR, Stasheff, TORIC, VVfV, aff, approach, atom, award, cap&the, cuts, data, http, ith, j-th, onto, page, parts, pass, patch, patches, patches"", patchpatch, patented, path, pathedge, paths, paththick, pdf, plane, sets, sketch, walk"
3284,fragment,"Fragment, Fragments, fragment, fragment backward, fragmentfragment, fragments, fundamental, statement"
3285,belt,"Betti, Dehli, Deza, Helv, Inst, belt, belts, build, built, cell, cells, field, meet, object, objects, text, texts, unit, vert"
3286,contradiction,"Central Circuits"", Pontryagin class, USA Pavillion, contiguous regions, contractible, contradiction, contradicts, contradicts Theorem, counterclockwise"
3287,manifold,"Harold, m-manifold, main goal, manifold, manifoldTake, manifolds, manifolds"", maximal, orbifolds, submanifold, transform"
3288,embedding,"According, according, ascending, embedded, embedding, embeddingLet, embeddings, including, meeting, numbers differ, preceding, relabeling, sending"
3289,intersect,"Conversely, acting freely, acts freely, edges intersects, finite sequence, increases, independent, infinite series, integer vector, interiors, intermediate, intersect, intersects, interval, inverse, pairwise intersect, path intersect, powerLet"
3290,pentagon,"Moment-angle, Pentagon, heptagon, heptagons, hexagon, hexagonal, hexagons, left-hand, moment-angle, pentagon, pentagonal, pentagons, pentakis"
3291,pair,"Main, Pair, major, pair, pairs, paper"
3292,dodecahedron,"Dodecahedron, cube&Snub dodecahedron, dodecahedron, dodecahedron Exercise, dodecahedronThe, dodecahedronThe Steinitz, pentakis dodecahedron, snub dodecahedron"
3293,m-n,"Fan, P/T m-n, j-n, j-y, k-b, k-i, k-n, m-k, m-n, m-n-i, m-nF, m/K, main, map, n-i, n-l, r-x"
3294,multiplication,"Multiplication, Nowmultiplication, multiplication, multiplication defined, multiplication rule, multiplications, participation, specialization, trivialisation"
3295,quasitoric,"Dutour Sikiric, Francis Guthrie, Nowadays toric, Quasitoric, auditorium, dataquasitoric, quasitoric, quasitoric data, wide auditorium"
3296,successive,"Successive, espaces fibres, non-successive, nonsuccessive, numbers gives, spaces define, successive"
3297,graph,"Graphs, Harada, Pgraph, Zigzags, drawn, graded, grants, graph, graphs, graphs"", group, groups, grows, grows fast, growth, steps, subgraph"
3298,induced,"induced, induces, inductive, introduced, reduced"
3299,multigraded,"Bigraded, Multigraded, multidegree, multidegree mdeg, multigraded, multigrading, mutigraded, mutligraded"
3300,construction,"Construction, configuration, construct, construct arbitrary, construction, construction implies, constructions, constructive, constructive enumeration, polytope Construction"
3301,vector,"December, Milnor, October, Steklov, Victor, bottom, f-vector, f-vectorAll, f-vectors, factor, factors, functor, inventor, mirror, p-vector, tensor, vector, vectors, vice versa"
3302,flag simple,"convex simple, dual simple, exist simple, finite simple, flag simple, flag simplicial, linear simple, path simpleif"
3303,homeomorphism,"areas homeomorphic, homeomorphic, homeomorphism, homeomorphisms, homomorphism"
3304,problem,"Problem, Smalley, double, globales, map problem, problem, problem solved, problemNo, problemfour, problems, product, program, proposed, triples, unsolvable"
3305,ring,"Bruns, China, EPrint, Fig, Krnc, MIMS EPrint, Moving, Printing, Rings, Springer, Using, Wang, acting, lying, moving, rank, rigid, ring, rings, rise, roofing, signs, taking, thick, trying, using"
3306,solids,"Conclude, Follows, Volodin, admits, colors, follow, follows, holds, isomers, polydisk, sends, series, sides, society, solid, solid lines, solids, solved, solved"", split, topics, valid"
3307,theorem,"K-Theory"", Theorem, Theorems, Theory, Theory Ser, colored, curve theorem, g-theorem, main theorem, theorem, theorem analog, theorem gives, theorems, theorist, theory"
3308,Lecture,"Closure, Conjecture"", FULLERENES, Lecture, Lecture guide, Lectures, Leibnitz rule, Leipzig, Leonard, Letters, Nobel Lecture, Robert Curl, closure, lecture, lectures, molecule, n-cube, picture"
3309,combinatorially equivalent,"combinatorial equivalence, combinatorially chiral, combinatorially chiralchiral, combinatorially equivalent, combinatorially nonequivalent"
3310,result,"Faculty, Graduate, key results, main result, modulo, regular, result, result graph, resulting, resulting entity, results"
3311,simplex,"Simple, Simplex, Ziegler, circle, circles, complex, empty simplex, n-simplex, simple, simplegraph, simpleif, simplest, simplex, simply, single, singuliere, subcomplex, symplectic"
3312,characteristic,"Characteristic, Euler characteristics, Richard Buckminster, characteristic, characteristics, characterizing, mappingcharacteristic"
3313,cyclic,"Cyclic, cutcyclic, cycle, cycles, cyclic"
3314,surrounds,"disc bounded, disk bounded, lower bounds, surround, surrounded, surrounding, surrounds"
3315,elements,"Acknowledgments, achievements, depends, edge-segments, element, elementary, elements, reference, segments, statements"
3316,quadrangle,"Quadrangle, Subrahmanyam, Wolfgang Haken, dualGale, facet quadrangle, quadrangle, quadrangle instead, quadrangles, quadrangular, quadratic"
3317,complexes,"Thom complexes"", complete, complex freely, complex join, complex numbers, complex smooth, complexes, complexes"", globales des, subcomplexes"
3318,diagram,"Program, diagonal, diagram, diagrams, digram"
3319,faces,"Academy, B-cuts, Barrel, Cayley, Davis, Francis, Haken, Mackay, Paris, Surveys, Theses, acts, affects, area, based, basis, blocks, cases, classes, faces, facet, facets, facets lie, facets modulo, facets"", famous, fibres, figures, fixed, flagness, focus, focused, forms, framed, free, gives, i-faces, lattices, leaves, makes, named, nonfaces, passes, rules, trees, types, values"
3320,moment-angle manifold,"Moment-angle manifold, Moment-angle manifolds, P&&moment-angle manifold, Pmoment-angle manifold, havemoment-angle manifold, manifoldmoment-angle manifold, moment-angle manifold, moment-angle manifoldTake, moment-angle manifolds, sectionmoment-angle manifold"
3321,opposite,"Suppose, appropriate, composite, impossible, lie outside, opportunity, opposite, opposite edges, opposite sides, organized, outside, positive, supported"
3322,Poincare duality,"Poincare dual, Poincare duality, Poincare dualityPoincare, Poincare obtain, Richard Smalley, dualGale duality, dualityPoincare duality"
3323,consider,"Buckminster, Consider, Considering, Else consider, Leonard Euler, coincides, coinsides, consider, considered, consisting, consists, cylinder, else consider, inside"
3324,integer,"Gubkina str, formula integer, instead, integer, integers, integral, interior, needed, odd integer"
3325,mappings,"Mappings, appears, mapping, mapping preserves, mappings, matchings, midpoints"
3326,Archimedean,"Archimedean, Archimedean solids, Euclidean, Hasheminezhad, architectural, solidArchimedean"
3327,commutative,"commutative, commutative algebra, commutative diagram, commutative group, commutativity, compatible, computations, nonnegative"
3328,define,"Define, Define polar, Gubkina, Leninskie, Modified, Remind, affine, affinely, decide, define, defined, defines, defining, deform, degree, degrees, deleting, delivered, depend, designer, disjoint, dotted lines, image defines, ordering, realize, relint, well-defined, wide audience"
3329,equivalence,"Providence, equivalence, equivalence class, equivalence preserving, equivalent, equivalent convex, gas valency, homotopy equivalence, nonequivalent"
3330,polytopepolytope,"dual polytopepolytope, polydiskpolydisk, polytopepolytope, polytopesFlag polytopes, polytopespolytope"
3331,section,"Description, Section, Subsection, action, assumption, assumptions, bijection, collection, criterion, exceptional, function, inclusion, induction, m-action, mention, mentioned, section, special, specified, subsection, version, versions"
3332,simplices,"Possibilities, basis gives, implicitly, implies, possibilities, simplices, simplicial"
3333,spaces,"Space, Thom spaces, Thom spaces"", des espaces, espaces, halfspace, scalar, separates, shared, smallest, space, spaceover, spaces, spaces"", squares, starts, systems"
3334,trivial,"B-rigid, Brinkmann, chiral, initial, non-trivial, nontrivial, original, previous, transversal, triangle, triangles, trivial, trivial real"
3335,Stanley-Reisner,"Stanley-Reisner, Stanley-Reisner ideal, Stanley-Reisner ring, Stanley-Reisner rings, ring Stanley-Reisner, ringStanley-Reisner, ringpolytope Stanley-Reisner"
3336,University,"AMS University, Cambridge University, National University, University, University Lectures, University Press, functoriality, universal"
3337,barycentric,"Barycentric, Harold Kroto, barycenter, barycentric, via barycentric"
3338,cellular structure,"Cellular structure, cell structure, cellular structure, cellular structurepolydisk, cellular structures, complex structure, simplicial structure"
3339,denote,"Choose, Denote, Endo-Kroto, Kenneth, Kenneth Appel, denote, denoted, denotes, devoted, m-n onto, minors, nanotubes, note, remove"
3340,intersection,"hence deletion, hence intersections, indexintersection, indexintersection index, interpretation, intersecting, intersecting neighbors, intersection, intersections, inverse operation, linear relations, quotient projection, reversing bijection"
3341,loop,"Color, Dokl, Mosc, Moscow, Proc, Proof, Soc, Thom, Wilson, allow, color, join, k-loop, looks, loop, loop	, loops, loss, p-loop, shown, step, stop, tool, vol"
3342,simplicial complex,"nonfacesimplicial complex, simplegraph simple, simplicial chain, simplicial complex, simplicial complexabstract, simplicial complexes, simplicial convex"
3343,wikipedia org,"Leninskie Gory, wikipedia, wikipedia org"
3344,Platonic solids,"Catalan solids, Platonic solid, Platonic solidpolytope, Platonic solids"
3345,applications,"Applications"", application, applications, applications based, apply methods, approximation, discuss applications, realizationabstract"
3346,canonical section,"canonical action, canonical cellular, canonical orientation, canonical partition, canonical projection, canonical section, canonical structure, classical notion, technical result"
3347,contain,"Combin, Contemp, Counting, London, Pontryagin, central, chain, cochain, cochains, coloring, compact, constant, contain, contained, containing, contains, content, continue, continuous, hotmail, obtain, obtain m-k, obtained, obtains, total Pontryagin"
3348,corresponds,"belt corresponds, correspond, correspondence, correspondent, corresponding, corresponds, crossroads, element corresponds, holes bounded, ray corresponds"
3349,homology,"Cohomology, Homotopy, Lomonosov, Morphologie, Topology, biology, cohomology, homology, homotopic, homotopy, hotmail com, locally, nanotechnology, odd homology, topology"
3350,simple edge,"Simple paths, double edge, multiple edges, simple edge, simple edge-cycle, simple edge-cycles, simple edge-path, simple flag, simple graph, simple result, simpleedge, simpleedge path, simplesimple, simplest example, single edge, single-edge, vital due"
3351,www wikipedia,www wikipedia
3352,example,"Example, exactly, example, examples, exatly, multiple, nice examples, previous example, remarkable"
3353,facets pentagons,"adjacent pentagon, adjacent pentagons, facet heptagon, facets adjacent, facets hexagons, facets pentagons, intersects pentagons, isolated pentagon"
3354,growth operations,"Denote operation, Endo-Kroto operation, Growth operations, Theses operations, growth operation, growth operationLet, growth operationgrowth, growth operationis, growth operations, truncation operations"
3355,linear,"Brinkmann-Dress, C-linear, C-linear maps, Finely, Fisher, Fleischner, Higher, Richard, Singapore, appear, bilinear, clear, finely, linear, linear forms, linearity, linearly, lines, lower, m-k linearly, planar, singular, zigzag"
3356,notions,"Matkowski, National, actions, actions"", assigns, conditions, contiguous, definitions, functions, notation, notations, noticed, notion, notions, notionsConvex, regions, unions"
3357,piecewise-linear,"Interdisciplinary, piecewise linear, piecewise-linear, piecewise-linear closed, piecewise-linear curve, piecewise-linear mapping, piecewise-linear version, simple piecewise-linear"
3358,positively oriented,"additively generated, canonically oriented, orientedoriented, positive orientation, positively oriented"
3359,respect,"abstract, architect, effect, perfect, research, respect, respectively, respects, retract"
3360,Betti numbers,"Betti numbers, Betti numbersbigraded, Betti numberspolytope, nonnegative integers, real numbers"
3361,Mathematics,"Mathematical, Mathematicians, Mathematics, Mathematics award, Mathematik, Mathematik und, Mechanics, discrete mathematics, mathematical, mathematics"
3362,Schlegel diagram,"Schlegel diagram, Schlegel diagramSchlegel, Schlegel diagrams, Schlegel digram, pullback diagram"
3363,Steinitz,"Ernst Steinitz, Leibnitz, Rigidity, Steinitz, Steinitz's, SteinitzA, SteinitzA graph"
3364,admissible mapping,"Admissible mappings, admissible mapping, admissibleadmissible, admissibleadmissible mapping, composite mapping"
3365,belong,"Coloring, Jelena, Wolfgang, beginning, belong, belongs, beyond, cube&Snub"
3366,border,"Dover, Jordan, Moreover, barrel, bigraded, border, borders, corner, disordered, formed, larger, moreover, nonzero, ordered, orders, shorter"
3367,cubical subdivision,"cubical subdivision, cubical subdivisionpolytope, simplicial subdivision"
3368,cyclic k-edge,"Cyclic k-edge, cutcyclic k-edge, cyclecycleis, cyclic k-edge, cyclic sequence"
3369,describe,"Admissible, Describe, Discrete, Nobel Prize, admissible, decreases, describe, described, discrete, gives rise"
3370,edge path,"Discrete Math, Duke Math, Soviet Math, Steklov Math, edge path, edge pathedge, edge paths, edge-path, edge-paths, pathedge path, paththick path, single-edge path, thick path, thick paththick, zigzag path"
3371,ind,"Akad, Ann, Canada, Endo, India, Univ, ends, ind, index, int, odd, third, und"
3372,matrix,"matrices, matrix, n-matrix, natural, submatrix, unit matrix"
3373,prove,"Graver, Kroto, Prove, curve, move, proof, proofs, prove, proved, proves, provided, provides, role"
3374,quasitoric manifold,"Quasitoric manifold, Quasitoric manifolds, dataquasitoric manifold, quasitoric manifold, quasitoric manifolds, quasitoric manifolds"""
3375,smooth,"Growth, Smooth, smooth"
3376,sphere,"Biosphere, Chern, Scheme, appeared, nozero, scheme, share, sphere, sphere"", spheres, upper, upper ray"
3377,successive facets,"Successive edges, non-successive facets, nonsuccessive facets, successive edges, successive facets"
3378,sum,"Adv, Chem, Cube, Curl, Due, Duke, Forum, Hom, III, Justus, Physik, Snub, USA, VVV, com, cube, cut, due, hull, rule, sign, situs"", snub, str, study, sum, sums, www"
3379,surface,"Arthur Cayley, hypersurfaces, nonface, pullback, subspace, suffice, sufficiency, sufficient, surface"
3380,truncated,"Princeton, Truncated, associated, cube&&Truncated, originated, truncated, truncation, truncations"
3381,Russian,"Russia, Russian, Russian Academy, Russian Math, assign, buchstab, discuss main, discussion, russian"
3382,adjacent edges,"Graduate texts, adjacent edges, adjacent facets, adjacent regions, incident edges, non-adjacent edges"
3383,argument,"Department, Similar argument, adjacent, argument, argument works, arguments, segment"
3384,classical,"Classical, classical, classical Poincare, classification, classified, physical, problem Classical"
3385,equality,"duality, equality, generality, inequalities, inequality"
3386,finite,"fibre, figure, finish, finishes, finite, infinite, infinitely, unique"
3387,monomial,"Montreal, follow mainly, functorial, minimal, monomial, monomial quadratic, monomial ring, monomials, nonempty, normal"
3388,projective,"Projective, bijectively, effective, producing, projection, projective, projective space, projective version, projectiveLet, properties, via projection"
3389,satisfying,"axis passing, basis defining, integers satisfying, particular satisfying, satisfies, satisfy, satisfying"
3390,subset,"August, subset, subsets"
3391,substitute,"Institute, substitute, substituting, substitution"
3392,toric topology,"Toric Homotopy, Toric Topology, Toric topology, algebraic topology, equivariant topology, topologytoric topology, toric topology, toric topologytoric"
3393,Davis-Januszkiewicz',"Davis--Januszkiewicz, Davis--Januszkiewicz', Davis-Januszkiewicz', Januszkiewicz, complex Davis-Januszkiewicz', manifold Davis-Januszkiewicz'"
3394,Davis-Januszkiewicz' construction,"Davis--Januszkiewicz' construction, Davis-Januszkiewicz' construction, Davis-Januszkiewicz' constructionmoment-angle"
3395,Geometry,"Geometries, Geometry, Germany, geometry, isometry, symmetry"
3396,assume,"Assume, assembled, assume"
3397,barycentric subdivision,"barycentric simplicial, barycentric subdivision, barycentric subdivisions"
3398,belts surrounding,"belt surrounding, belt surrounds, belts surrounding, belts surrounds, facets surrounding, k-belt surrounding, loop surrounding"
3399,canonical multiplication,"canonical multigraded, canonical multiplication, complex multiplication, induced multiplication, nontrivial multiplication"
3400,characteristic function,"Characteristic function, characteristic function, characteristic functions"
3401,chemistry,"Chemistry, chemistry, chemists-theorists"
3402,combinatorial type,"Combinatorial data, combinatorial convex, combinatorial data, combinatorial isomers, combinatorial simple, combinatorial study, combinatorial type, combinatorial types, cosphericalcospherical class"
3403,consequent,"Consequence, classes Denote, congruent, consequent, consistent, convenient, exact sequence, non-consequent"
3404,consequent facets,"congruent regular, consequent edges, consequent facets, non-consequent facets"
3405,coordinates,"coordinate, coordinated, coordinates, coordinates nonzero, coordinatewise, ith coordinate, polar coordinated, zero coordinates"
3406,diagonal action,"additional assumptions, diagonal action, diagonal approximation, diagonal mapping, diagonal subgroup, disjoint union, trivial action"
3407,divisor,"Novikov, develop, divided, divides, divisible, divisor, divisors, subdivision, subdivisions"
3408,fundamental cycle,"fundamental cycle, fundamental notions"
3409,geometrical,"Geometrical, geometric, geometrical, geometrically, geometrically chiral"
3410,identify,"entity, identified, identify, identity"
3411,lemma,"Lemma, Remark, Sharma, e-mail, lemma, terms, versa"
3412,lie,"Else, Fix, Jie, guide, lattice, lie, lies, nice, value, via, vice, view, wide"
3413,n-dimensional,"codimension, dimension, dimensional, dimensional convex, four-dimensional, n-dimensional, n-dimensional Euclidean, n-dimensional torus, real n-dimensional, standard n-dimensional, three-dimensional"
3414,normal vector,"column vectors, complex vector, initial vertex, nonzero vector, normal bundle, normal vector, normal vectors, nozero vector"
3415,orientation induced,"operations induced, orientation coincides, orientation defined, orientation induced, orientation induces, orientationcanonical, orientations induced"
3416,outer,"Buchstaber, Coxeter, Dutour, Eastern, Euler, Euler's, Fuller, Guthrie, Kutnar, Star, commute, computer, dotted, latter, numbers, outer, refer"
3417,proof follows,"parts follow, problemfour colors, proof follows, result follows, theorem follows"
3418,raising,"Beijing, Choosing, Walking, arising, choosing, hanging, missing, organizing, passing, providing, raising, reversing, walking"
3419,Euler formula,"Euler formula, Euler's formula, gives non-flag, implies formula, outer normal, problems formulated, relationEuler's formula"
3420,Professor,"Professor, Professor Jelena, Professor Jie, thank Professor"
3421,Truncated icosahedron,"Truncated icosahedron, cube&&Truncated dodecahedron, truncated icosahedron"
3422,algebra,"Billera, algebra, algebraic, graded algebra, tensor algebra"
3423,analog,"Analog, Catalan, analog, analogs, analogue, angles"
3424,arXiv,"Archiv, Grbic, arXiv, arrow, carbon, orbit"
3425,authors,"Furthermore, Hausdorff, Nauk SSSR, author, authors, authors thank, methods, neighbors"
3426,boundary component,"boundary component, boundary components, boundary condition, connected component, connected components"
3427,cellular cochain,"McMullen's conditions, cellular approximation, cellular chain, cellular cochain, cellular cochains, cellular complex"
3428,characteristic mapping,"Characteristic mapping, characteristic classes, characteristic mapping, quadratic mapping"
3429,coboundary operator,"boundary operator, coboubdary operator, coboundary homomorphism, coboundary operator"
3430,cochain complexes,"chain complex, chain complexes, cochain complex, cochain complexes, condition implies, contain fragments"
3431,cohomology ring,"Cohomology ring, cobordism ring, cohomology ring"
3432,colors problem,"Classical problem, colors problem, colors problemfour, colors suffice, colors theorem, follows directly, major problem"
3433,combinatorial operation,"combinatorial description, combinatorial dodecahedron, combinatorial enumeration, combinatorial operation"
3434,deformation,"definition, deformation, deformation retract, deformation retraction, description, formulation"
3435,direct sum,"Skrekovski, direct product, direct sum, direct summand, directly"
3436,edge belongs,"atom belongs, edge belongs, edges belong, element belongs, pentagon belongs, vertex belongs"
3437,edge cycle,"dualcycle, edge cycle, edge cycles, edge-cycle, edge-cycles, unit circles, zigzag cycle"
3438,edges corresponding,"blocks corresponding, cells corresponding, edges corresponding, elements corresponding, one-to-one correspondence, vector corresponding"
3439,edges lying,"edge lying, edges defining, edges leaves, edges lying, edgesmissing, points lying"
3440,equality holds,"equality follows, equality holds, inequality changes, inequality holds, self-dual pyramids"
3441,equivariant,"equivariant, invariant, invariants, m-equivariant, n-equivariant"
3442,exist,"Ernst, axis, exact, except, exist, existence, exists, explicit"
3443,flag polytopes,"Dual polytopes, cyclic polytopecyclic, flag polytope, flag polytopes, non-flag polytope, non-flag polytopes, regular polygons"
3444,geometrical realization,"Geometrical construction, Geometrical realization, geometric realization, geometric realizationabstract, geometrical realization"
3445,graded ring,"graded ring, graded rings, mutigraded ring, mutligraded ring, organized jointly, quadratic ring, solved using"
3446,initial polytope,"chiral polytope, chiralpolytope, classical polytope, induction hypothesis, initial polytope, initial vertexpolytope, intermediate polytopes, minimalpolytope, orientationpolytope, original polytope"
3447,intersect facets,"intermediate steps, intersect exactly, intersect facets, intersecting facets, intersects exactly, universal coefficients"
3448,lecture notes,"Lectures Series, appeared instead, exatly nanotubes, inductive hypothesis, lecture notes, lectures delivered, left-hand rules"
3449,linear isomorphism,"additive isomorphism, boundary homomorphism, graded isomorphism, inverse isomorphism, linear combination, linear homeomorphisms, linear isomorphism, locally isomorphic, ring isomorphism, simplicial isomorphism"
3450,m-equivariant homeomorphism,"m-equivariant embedding, m-equivariant homeomorphism, m-equivariant quadratic"
3451,minimal nonface,"minimal nonface, minimal nonfaces, minimalnonface"
3452,moment-angle complexes,"Moment-angle complex, Moment-angle complexes, moment-angle complex, moment-angle complexes, moment-angle complexes"""
3453,octahedron,"Icosahedral, Icosahedron, Octahedron, icosahedral, icosahedron, octahedron, octahedron&, total Chern"
