word,n_gram_score,pos,frequency,tf_idf,inf,match_count,volume_count,source
decomposition,2,NN,14,0.0127354452055,-0.00471586553607,2744910,322246,1
free spectrahedron,10,NN,14,0.0127354452055,-0.00471586553607,,,1
matrix convex,10,NN,14,0.0127354452055,-0.00471586553607,,,1
minimal,2,JJ,14,0.0127354452055,-0.00471586553607,4371119,937319,1
particular,2,JJ,14,0.0127354452055,-0.00471586553607,59016401,2841449,1
polynomial,2,JJ,14,0.0127354452055,-0.00471586553607,1756293,84154,1
chain,2,NN,13,0.0118257705479,-0.00445339180187,12843666,1881556,1
coordinate unitary,10,JJ,13,0.0118257705479,-0.00445339180187,,,1
j],2,NN,13,0.0118257705479,-0.00445339180187,,,1
matrix,2,VBP,13,0.0118257705479,-0.00445339180187,10320779,527649,1
size,2,NN,13,0.0118257705479,-0.00445339180187,43541256,2647336,1
spectrahedra,2,NN,13,0.0118257705479,-0.00445339180187,,,1
unitary conjugation,10,NN,13,0.0118257705479,-0.00445339180187,,,1
boundary,2,JJ,12,0.0109160958904,-0.00418497381223,9091449,1081373,1
convex sets,10,NNS,12,0.0109160958904,-0.00418497381223,27597,5399,1
matrix polynomials,10,NNS,12,0.0109160958904,-0.00418497381223,2422,669,1
monic,2,JJ,12,0.0109160958904,-0.00418497381223,44323,8954,1
sets,2,NNS,12,0.0109160958904,-0.00418497381223,14297172,2215002,1
A=,2,NNP,11,0.0100064212329,-0.00391011510536,,,1
Proposition,2,NNP,11,0.0100064212329,-0.00391011510536,6032970,1126661,1
Suppose,2,NNP,11,0.0100064212329,-0.00391011510536,17334126,1877454,1
convex,2,JJ,11,0.0100064212329,-0.00391011510536,2228323,259897,1
linear pencil,10,NN,11,0.0100064212329,-0.00391011510536,505,165,1
matrix,2,JJ,11,0.0100064212329,-0.00391011510536,10320779,527649,1
variables,2,NNS,11,0.0100064212329,-0.00391011510536,14690001,700849,1
balanced,2,VBD,10,0.00909674657534,-0.00362822860806,4963190,1441275,1
circular,2,NN,10,0.00909674657534,-0.00362822860806,5956410,1186938,1
direct sums,10,NNS,10,0.00909674657534,-0.00362822860806,9874,2612,1
equivalence,2,NN,10,0.00909674657534,-0.00362822860806,1221865,230623,1
equivalent,2,JJ,10,0.00909674657534,-0.00362822860806,13752172,1772476,1
homogeneous,2,JJ,10,0.00909674657534,-0.00362822860806,3082234,642921,1
integers,2,NNS,10,0.00909674657534,-0.00362822860806,1377559,114531,1
matrix balanced,10,VBD,10,0.00909674657534,-0.00362822860806,,,1
positive integers,10,NNS,10,0.00909674657534,-0.00362822860806,193862,34497,1
reducing,2,VBG,10,0.00909674657534,-0.00362822860806,7094167,1365066,1
sum,2,NN,10,0.00909674657534,-0.00362822860806,18731511,2020761,1
sums,2,NNS,10,0.00909674657534,-0.00362822860806,3670693,1083025,1
tuple,2,JJ,10,0.00909674657534,-0.00362822860806,211450,21102,1
unitarily equivalent,10,JJ,10,0.00909674657534,-0.00362822860806,7510,1212,1
unitary equivalence,10,NN,10,0.00909674657534,-0.00362822860806,3645,923,1
vector,2,NN,10,0.00909674657534,-0.00362822860806,7387436,250115,1
Matrix,2,NNP,9,0.00818707191781,-0.00333860929183,10320779,527649,1
block decomposition,10,NN,9,0.00818707191781,-0.00333860929183,1455,524,1
implies,2,NNS,9,0.00818707191781,-0.00333860929183,7638691,1388207,1
theorem,2,NN,9,0.00818707191781,-0.00333860929183,4585045,101674,1
unit,2,NN,9,0.00818707191781,-0.00333860929183,26491947,1733853,1
zero,2,CD,9,0.00818707191781,-0.00333860929183,13204197,1072994,1
Circular,2,NNP,8,0.00727739726027,-0.0030403945709,5956410,1186938,1
Fix,2,NNP,8,0.00727739726027,-0.0030403945709,5313414,1583554,1
Hahn-Banach,2,NNP,8,0.00727739726027,-0.0030403945709,,,1
Helton,2,NNP,8,0.00727739726027,-0.0030403945709,47003,14523,1
McCullough,2,NNP,8,0.00727739726027,-0.0030403945709,276151,83107,1
column,2,NN,8,0.00727739726027,-0.0030403945709,15425069,1491744,1
contains,2,NNS,8,0.00727739726027,-0.0030403945709,23078500,2153034,1
denote,2,JJ,8,0.00727739726027,-0.0030403945709,3371851,616498,1
g-tuple,2,JJ,8,0.00727739726027,-0.0030403945709,,,1
hence,2,NN,8,0.00727739726027,-0.0030403945709,13532930,1730329,1
item,2,NN,8,0.00727739726027,-0.0030403945709,10313272,1386085,1
matrix polynomial,10,JJ,8,0.00727739726027,-0.0030403945709,3777,955,1
section,2,NN,8,0.00727739726027,-0.0030403945709,46534382,2407259,1
tuple,2,NN,8,0.00727739726027,-0.0030403945709,211450,21102,1
1< j<,10,CD,7,0.00636772260274,-0.00273250468584,,,1
LMI,2,NNP,7,0.00636772260274,-0.00273250468584,31833,3339,1
Write,2,NNP,7,0.00636772260274,-0.00273250468584,31017478,2514650,1
assumption,2,NN,7,0.00636772260274,-0.00273250468584,10174663,1558747,1
ball,2,NN,7,0.00636772260274,-0.00273250468584,13418618,1654684,1
commutative,2,JJ,7,0.00636772260274,-0.00273250468584,377849,40447,1
commutative cross,10,VBP,7,0.00636772260274,-0.00273250468584,,,1
direct sum,10,NN,7,0.00636772260274,-0.00273250468584,99802,9385,1
finite,2,JJ,7,0.00636772260274,-0.00273250468584,5870570,553502,1
holds,2,VBZ,7,0.00636772260274,-0.00273250468584,11737694,2236445,1
j<,2,NN,7,0.00636772260274,-0.00273250468584,,,1
j=1,2,JJ,7,0.00636772260274,-0.00273250468584,,,1
matrix convex,10,JJ,7,0.00636772260274,-0.00273250468584,,,1
minimal defining,10,VBG,7,0.00636772260274,-0.00273250468584,225,114,1
noncommutative,2,JJ,7,0.00636772260274,-0.00273250468584,28775,5778,1
pair,2,NN,7,0.00636772260274,-0.00273250468584,14077461,1939423,1
prove,2,VBP,7,0.00636772260274,-0.00273250468584,18413819,2464490,1
separation,2,NN,7,0.00636772260274,-0.00273250468584,9919132,1595049,1
shows,2,NNS,7,0.00636772260274,-0.00273250468584,39234520,2727304,1
subset,2,NN,7,0.00636772260274,-0.00273250468584,1775648,257821,1
symmetric,2,JJ,7,0.00636772260274,-0.00273250468584,1680971,161166,1
Finally,2,NNP,6,0.00545804794521,-0.00241354854995,30122661,2675215,1
Free Circular,10,NNP,6,0.00545804794521,-0.00241354854995,1458,979,1
Klep,2,NNP,6,0.00545804794521,-0.00241354854995,1864,533,1
Mathematics,2,NNP,6,0.00545804794521,-0.00241354854995,5232360,791522,1
Moreover,2,RB,6,0.00545804794521,-0.00241354854995,13930031,1543142,1
Section,2,NNP,6,0.00545804794521,-0.00241354854995,46534382,2407259,1
circular matrix,10,NN,6,0.00545804794521,-0.00241354854995,229,158,1
coefficients,2,NNS,6,0.00545804794521,-0.00241354854995,4807246,295984,1
convexity,2,NN,6,0.00545804794521,-0.00241354854995,286991,67761,1
described,2,VBD,6,0.00545804794521,-0.00241354854995,43834932,2650403,1
dimension,2,NN,6,0.00545804794521,-0.00241354854995,5889768,982646,1
dimensional,2,JJ,6,0.00545804794521,-0.00241354854995,5612131,581588,1
exists,2,NNS,6,0.00545804794521,-0.00241354854995,14927472,2030476,1
free polynomials,10,NNS,6,0.00545804794521,-0.00241354854995,,,1
free spectrahedra,10,JJ,6,0.00545804794521,-0.00241354854995,,,1
g-1,2,JJ,6,0.00545804794521,-0.00241354854995,,,1
inclusion,2,NN,6,0.00545804794521,-0.00241354854995,3224803,910663,1
main,2,JJ,6,0.00545804794521,-0.00241354854995,37334337,2735998,1
p=1,2,NN,6,0.00545804794521,-0.00241354854995,,,1
pencil ball,10,NN,6,0.00545804794521,-0.00241354854995,,,1
subpencil,2,NN,6,0.00545804794521,-0.00241354854995,,,1
unitarily,2,RB,6,0.00545804794521,-0.00241354854995,14811,3022,1
whenever,2,WRB,6,0.00545804794521,-0.00241354854995,9629291,2146817,1
5]BVM,2,CD,5,0.00454837328767,-0.00208166567389,,,1
Furthermore,2,NNP,5,0.00454837328767,-0.00208166567389,9470662,1320978,1
Linear,2,NNP,5,0.00454837328767,-0.00208166567389,11614389,730698,1
Note,2,NNP,5,0.00454837328767,-0.00208166567389,37401375,2731620,1
Observe,2,NNP,5,0.00454837328767,-0.00208166567389,9631113,1925883,1
Sets,2,NNP,5,0.00454837328767,-0.00208166567389,14297172,2215002,1
Soc,2,NNP,5,0.00454837328767,-0.00208166567389,8413752,351837,1
Spectrahedra,2,NNP,5,0.00454837328767,-0.00208166567389,,,1
University,2,NNP,5,0.00454837328767,-0.00208166567389,80244042,2388400,1
admissible,2,JJ,5,0.00454837328767,-0.00208166567389,1248980,222067,1
assumed,2,VBD,5,0.00454837328767,-0.00208166567389,17743931,2265186,1
basis,2,NN,5,0.00454837328767,-0.00208166567389,39579430,2382168,1
blocks,2,NNS,5,0.00454837328767,-0.00208166567389,7724417,1470764,1
circular free,10,JJ,5,0.00454837328767,-0.00208166567389,795,583,1
closed,2,JJ,5,0.00454837328767,-0.00208166567389,24233813,2510148,1
complete,2,JJ,5,0.00454837328767,-0.00208166567389,41202946,2932601,1
complex,2,JJ,5,0.00454837328767,-0.00208166567389,28491331,2037972,1
contractions,2,NNS,5,0.00454837328767,-0.00208166567389,1308426,223702,1
denote,2,VBP,5,0.00454837328767,-0.00208166567389,3371851,616498,1
distinct,2,JJ,5,0.00454837328767,-0.00208166567389,15084408,2089300,1
finite dimensional,10,JJ,5,0.00454837328767,-0.00208166567389,82147,9789,1
graded,2,VBD,5,0.00454837328767,-0.00208166567389,1257416,408573,1
ij,2,NN,5,0.00454837328767,-0.00208166567389,388185,159350,1
implies,2,VBZ,5,0.00454837328767,-0.00208166567389,7638691,1388207,1
interior,2,JJ,5,0.00454837328767,-0.00208166567389,9586649,1490785,1
irrational,2,JJ,5,0.00454837328767,-0.00208166567389,1916556,630801,1
itA,2,NN,5,0.00454837328767,-0.00208166567389,585433,127766,1
k=1,2,NN,5,0.00454837328767,-0.00208166567389,,,1
maps,2,NNS,5,0.00454837328767,-0.00208166567389,5458421,929038,1
nonzero,2,NN,5,0.00454837328767,-0.00208166567389,694636,85365,1
paper,2,NN,5,0.00454837328767,-0.00208166567389,43282488,2762904,1
proof,2,JJ,5,0.00454837328767,-0.00208166567389,15450745,2060173,1
reducing subspace,10,NN,5,0.00454837328767,-0.00208166567389,767,166,1
s=,2,NN,5,0.00454837328767,-0.00208166567389,,,1
separation theorem,10,NN,5,0.00454837328767,-0.00208166567389,6442,2014,1
sequence,2,NN,5,0.00454837328767,-0.00208166567389,14320022,1333179,1
shows,2,VBZ,5,0.00454837328767,-0.00208166567389,39234520,2727304,1
subspaces,2,NNS,5,0.00454837328767,-0.00208166567389,156166,16918,1
unit vector,10,NN,5,0.00454837328767,-0.00208166567389,156704,29398,1
unitary matrix,10,JJ,5,0.00454837328767,-0.00208166567389,22055,5146,1
vectors,2,NNS,5,0.00454837328767,-0.00208166567389,2851855,189336,1
version,2,NN,5,0.00454837328767,-0.00208166567389,15080989,1762849,1
zero column,10,NN,5,0.00454837328767,-0.00208166567389,2241,1414,1
1< s<,10,CD,4,0.00363869863014,-0.00173423838134,,,1
2]HKM13,2,CD,4,0.00363869863014,-0.00173423838134,,,1
Assume,2,NNP,4,0.00363869863014,-0.00173423838134,16153219,2239311,1
BVM,2,NNP,4,0.00363869863014,-0.00173423838134,10623,2175,1
Circular Free,10,NNP,4,0.00363869863014,-0.00173423838134,795,583,1
Convex,2,NNP,4,0.00363869863014,-0.00173423838134,2228323,259897,1
Convex Sets,10,NNP,4,0.00363869863014,-0.00173423838134,27597,5399,1
Define,2,NNP,4,0.00363869863014,-0.00173423838134,10247176,1572617,1
Department,2,NNP,4,0.00363869863014,-0.00173423838134,27243899,1747044,1
EW,2,NNP,4,0.00363869863014,-0.00173423838134,195869,46085,1
Effros-Winkler,2,NNP,4,0.00363869863014,-0.00173423838134,,,1
Free Spectrahedra,10,NNP,4,0.00363869863014,-0.00173423838134,,,1
Gleichstellensatz,2,NNP,4,0.00363869863014,-0.00173423838134,,,1
Hahn-Banach separation,10,NNP,4,0.00363869863014,-0.00173423838134,,,1
LMIs,2,NNP,4,0.00363869863014,-0.00173423838134,3001,250,1
Matrix Convex,10,NNP,4,0.00363869863014,-0.00173423838134,,,1
Operator,2,NNP,4,0.00363869863014,-0.00173423838134,7349983,786190,1
U=,2,NNP,4,0.00363869863014,-0.00173423838134,,,1
Z=,2,NNP,4,0.00363869863014,-0.00173423838134,,,1
analysis,2,NN,4,0.00363869863014,-0.00173423838134,44572547,1899159,1
block zero,10,NN,4,0.00363869863014,-0.00173423838134,307,180,1
circular free,10,NN,4,0.00363869863014,-0.00173423838134,795,583,1
commutative,2,VBP,4,0.00363869863014,-0.00173423838134,377849,40447,1
commutative cross,10,NN,4,0.00363869863014,-0.00173423838134,,,1
compact,2,JJ,4,0.00363869863014,-0.00173423838134,4420806,1036987,1
consisting,2,VBG,4,0.00363869863014,-0.00173423838134,7107831,1534001,1
countable,2,JJ,4,0.00363869863014,-0.00173423838134,249834,39317,1
depending,2,VBG,4,0.00363869863014,-0.00173423838134,8903644,1729598,1
elements,2,NNS,4,0.00363869863014,-0.00173423838134,31361610,2214631,1
evaluations,2,NNS,4,0.00363869863014,-0.00173423838134,1791539,432278,1
exactly,2,RB,4,0.00363869863014,-0.00173423838134,20566476,2525051,1
free matrix,10,JJ,4,0.00363869863014,-0.00173423838134,1156,694,1
free spectrahedron,10,VBP,4,0.00363869863014,-0.00173423838134,,,1
freely,2,RB,4,0.00363869863014,-0.00173423838134,7688283,1922468,1
functional,2,JJ,4,0.00363869863014,-0.00173423838134,9185715,928881,1
generality,2,NN,4,0.00363869863014,-0.00173423838134,956748,348630,1
identity,2,NN,4,0.00363869863014,-0.00173423838134,15454661,1616652,1
integer,2,NN,4,0.00363869863014,-0.00173423838134,2735939,166244,1
isometry,2,NN,4,0.00363869863014,-0.00173423838134,67130,6500,1
loss,2,NN,4,0.00363869863014,-0.00173423838134,37661378,2603383,1
m+1,2,NN,4,0.00363869863014,-0.00173423838134,139523,65250,1
matrix convex,10,VBP,4,0.00363869863014,-0.00173423838134,,,1
monomial,2,JJ,4,0.00363869863014,-0.00173423838134,90832,9560,1
multiplication,2,NN,4,0.00363869863014,-0.00173423838134,2382486,496109,1
ncr,2,JJ,4,0.00363869863014,-0.00173423838134,119424,24417,1
ncr,2,VBP,4,0.00363869863014,-0.00173423838134,119424,24417,1
nd,2,JJ,4,0.00363869863014,-0.00173423838134,1364451,425677,1
nd g-1,10,JJ,4,0.00363869863014,-0.00173423838134,,,1
needed,2,VBN,4,0.00363869863014,-0.00173423838134,40487359,2804165,1
noncommutative polynomials,10,NNS,4,0.00363869863014,-0.00173423838134,163,92,1
numbers,2,NNS,4,0.00363869863014,-0.00173423838134,31059418,2518827,1
operator pencil,10,IN,4,0.00363869863014,-0.00173423838134,722,68,1
orthogonal,2,JJ,4,0.00363869863014,-0.00173423838134,1109478,108651,1
orthonormal,2,JJ,4,0.00363869863014,-0.00173423838134,213677,19568,1
orthonormal basis,10,NN,4,0.00363869863014,-0.00173423838134,70174,8991,1
positive integer,10,NN,4,0.00363869863014,-0.00173423838134,316619,46264,1
product,2,NN,4,0.00363869863014,-0.00173423838134,33708467,2013813,1
proof,2,VBP,4,0.00363869863014,-0.00173423838134,15450745,2060173,1
proper,2,JJ,4,0.00363869863014,-0.00173423838134,30183008,2619174,1
relatively,2,RB,4,0.00363869863014,-0.00173423838134,22273945,1852838,1
relatively irrational,10,JJ,4,0.00363869863014,-0.00173423838134,197,177,1
result,2,NN,4,0.00363869863014,-0.00173423838134,68380648,2849201,1
s<,2,NN,4,0.00363869863014,-0.00173423838134,,,1
self-adjoint,2,JJ,4,0.00363869863014,-0.00173423838134,1882,686,1
suffices,2,NNS,4,0.00363869863014,-0.00173423838134,722985,302315,1
superdiagonal,2,JJ,4,0.00363869863014,-0.00173423838134,3477,1027,1
suppose,2,VBD,4,0.00363869863014,-0.00173423838134,17334126,1877454,1
term,2,NN,4,0.00363869863014,-0.00173423838134,51125203,2563357,1
tuples,2,NNS,4,0.00363869863014,-0.00173423838134,176717,18342,1
types,2,NNS,4,0.00363869863014,-0.00173423838134,32248489,2074844,1
unitaries,2,NNS,4,0.00363869863014,-0.00173423838134,2046,428,1
unitarily,2,JJ,4,0.00363869863014,-0.00173423838134,14811,3022,1
univariate,2,JJ,4,0.00363869863014,-0.00173423838134,145581,24948,1
1< e<,10,CD,3,0.0027290239726,-0.00136730509689,,,1
2]Zal,2,CD,3,0.0027290239726,-0.00136730509689,,,1
Adv,2,NNP,3,0.0027290239726,-0.00136730509689,1030491,41445,1
Amer,2,NNP,3,0.0027290239726,-0.00136730509689,3308841,264156,1
Appendix,2,NNP,3,0.0027290239726,-0.00136730509689,7199613,884384,1
Applying,2,NNP,3,0.0027290239726,-0.00136730509689,6030862,1492586,1
Applying Lemma,10,NNP,3,0.0027290239726,-0.00136730509689,5235,3011,1
Ball,2,NNP,3,0.0027290239726,-0.00136730509689,13418618,1654684,1
Circular Matrix,10,NNP,3,0.0027290239726,-0.00136730509689,229,158,1
Corollary,2,NNP,3,0.0027290239726,-0.00136730509689,849914,410027,1
Effros,2,NNP,3,0.0027290239726,-0.00136730509689,4965,1639,1
Equation,2,NNP,3,0.0027290239726,-0.00136730509689,20764464,783993,1
Free,2,JJ,3,0.0027290239726,-0.00136730509689,68139641,3033401,1
Inequalities,2,NNP,3,0.0027290239726,-0.00136730509689,1328660,345703,1
Linear Matrix,10,NNP,3,0.0027290239726,-0.00136730509689,3930,1991,1
Matrix Inequalities,10,NNP,3,0.0027290239726,-0.00136730509689,1312,522,1
Paulsen,2,NNP,3,0.0027290239726,-0.00136730509689,137825,40415,1
Polynomials,2,NNP,3,0.0027290239726,-0.00136730509689,821357,56760,1
SIAM,2,NNP,3,0.0027290239726,-0.00136730509689,475130,104356,1
Theory,2,NNP,3,0.0027290239726,-0.00136730509689,45553601,2130931,1
admissible chain,10,VBP,3,0.0027290239726,-0.00136730509689,,,1
appears,2,VBZ,3,0.0027290239726,-0.00136730509689,35115447,2567455,1
argument,2,NN,3,0.0027290239726,-0.00136730509689,20496385,2002041,1
article,2,NN,3,0.0027290239726,-0.00136730509689,18412235,1931676,1
canonical,2,JJ,3,0.0027290239726,-0.00136730509689,1302652,231144,1
characterizing,2,VBG,3,0.0027290239726,-0.00136730509689,649527,328395,1
choice,2,NN,3,0.0027290239726,-0.00136730509689,26337136,2616393,1
classification,2,NN,3,0.0027290239726,-0.00136730509689,7685180,1022951,1
collection,2,NN,3,0.0027290239726,-0.00136730509689,19014020,2254493,1
completes,2,VBZ,3,0.0027290239726,-0.00136730509689,1184745,537655,1
consequence,2,NN,3,0.0027290239726,-0.00136730509689,13329938,1852792,1
contain,2,VBP,3,0.0027290239726,-0.00136730509689,17598648,2254242,1
continuous,2,JJ,3,0.0027290239726,-0.00136730509689,13085338,1741783,1
contraction,2,NN,3,0.0027290239726,-0.00136730509689,3572593,518323,1
contradiction,2,NN,3,0.0027290239726,-0.00136730509689,3112236,897843,1
cr,2,JJ,3,0.0027290239726,-0.00136730509689,1569567,149654,1
cr,2,NN,3,0.0027290239726,-0.00136730509689,1569567,149654,1
defining pencil,10,NN,3,0.0027290239726,-0.00136730509689,,,1
definition,2,NN,3,0.0027290239726,-0.00136730509689,18359573,1720397,1
desired,2,VBD,3,0.0027290239726,-0.00136730509689,16323643,2152284,1
detailed,2,VBD,3,0.0027290239726,-0.00136730509689,12203155,1955898,1
detailed boundary,10,JJ,3,0.0027290239726,-0.00136730509689,407,375,1
dimension e<,10,NN,3,0.0027290239726,-0.00136730509689,,,1
domains,2,VBZ,3,0.0027290239726,-0.00136730509689,2590051,452098,1
effective,2,JJ,3,0.0027290239726,-0.00136730509689,30469731,2171823,1
empty,2,JJ,3,0.0027290239726,-0.00136730509689,13268383,2124289,1
evaluating,2,VBG,3,0.0027290239726,-0.00136730509689,3035401,704975,1
fixed,2,VBN,3,0.0027290239726,-0.00136730509689,23349320,2407200,1
free matrix,10,NN,3,0.0027290239726,-0.00136730509689,1156,694,1
g-tuple,2,NN,3,0.0027290239726,-0.00136730509689,,,1
g-tuples,2,NNS,3,0.0027290239726,-0.00136730509689,,,1
geometry,2,NN,3,0.0027290239726,-0.00136730509689,3330623,472957,1
gives,2,VBZ,3,0.0027290239726,-0.00136730509689,34577949,2820363,1
homogeneous linear,10,JJ,3,0.0027290239726,-0.00136730509689,26384,8452,1
homogeneous linear,10,NN,3,0.0027290239726,-0.00136730509689,26384,8452,1
homogeneous linear,10,VBP,3,0.0027290239726,-0.00136730509689,26384,8452,1
hypotheses,2,VBZ,3,0.0027290239726,-0.00136730509689,2897982,500063,1
hypothesis,2,NN,3,0.0027290239726,-0.00136730509689,8850385,890869,1
immediately,2,RB,3,0.0027290239726,-0.00136730509689,31320769,2726552,1
inequality,2,NN,3,0.0027290239726,-0.00136730509689,3271552,510296,1
invariant,2,VBP,3,0.0027290239726,-0.00136730509689,1390892,142375,1
involution,2,NN,3,0.0027290239726,-0.00136730509689,258460,60365,1
irreducible,2,JJ,3,0.0027290239726,-0.00136730509689,752622,157581,1
isometric,2,JJ,3,0.0027290239726,-0.00136730509689,336537,48301,1
isometries,2,NNS,3,0.0027290239726,-0.00136730509689,28789,3652,1
j],2,VBP,3,0.0027290239726,-0.00136730509689,,,1
k+1,2,NN,3,0.0027290239726,-0.00136730509689,49536,29752,1
letters,2,NNS,3,0.0027290239726,-0.00136730509689,26023033,2205145,1
location,2,NN,3,0.0027290239726,-0.00136730509689,16012813,1727717,1
m+n,2,NN,3,0.0027290239726,-0.00136730509689,54121,23140,1
matricial,2,JJ,3,0.0027290239726,-0.00136730509689,2999,1029,1
monic free,10,NN,3,0.0027290239726,-0.00136730509689,,,1
nN,2,JJ,3,0.0027290239726,-0.00136730509689,681408,205762,1
noncommuting,2,VBG,3,0.0027290239726,-0.00136730509689,4534,2315,1
none,2,NN,3,0.0027290239726,-0.00136730509689,24556783,2702063,1
norm,2,JJ,3,0.0027290239726,-0.00136730509689,2674501,645952,1
notation,2,NN,3,0.0027290239726,-0.00136730509689,2985982,460635,1
onto,2,IN,3,0.0027290239726,-0.00136730509689,14920264,1666804,1
operator pencil,10,NN,3,0.0027290239726,-0.00136730509689,722,68,1
orthogonal decomposition,10,NN,3,0.0027290239726,-0.00136730509689,5427,2106,1
pair,2,VBP,3,0.0027290239726,-0.00136730509689,14077461,1939423,1
pencils,2,NNS,3,0.0027290239726,-0.00136730509689,744576,333804,1
permutation,2,NN,3,0.0027290239726,-0.00136730509689,397521,69465,1
positivity,2,NN,3,0.0027290239726,-0.00136730509689,143655,40809,1
projection,2,NN,3,0.0027290239726,-0.00136730509689,3883434,707211,1
prove item,10,NN,3,0.0027290239726,-0.00136730509689,171,111,1
respectively,2,RB,3,0.0027290239726,-0.00136730509689,12303034,1484142,1
results,2,NNS,3,0.0027290239726,-0.00136730509689,55717697,2569241,1
rotations,2,NNS,3,0.0027290239726,-0.00136730509689,515824,126102,1
s=1,2,NN,3,0.0027290239726,-0.00136730509689,,,1
satisfies,2,NNS,3,0.0027290239726,-0.00136730509689,1926748,485558,1
self-contained,2,JJ,3,0.0027290239726,-0.00136730509689,608004,347740,1
self-contained proof,10,JJ,3,0.0027290239726,-0.00136730509689,445,381,1
sets,2,VBZ,3,0.0027290239726,-0.00136730509689,14297172,2215002,1
space,2,NN,3,0.0027290239726,-0.00136730509689,43438953,2689333,1
standard orthonormal,10,JJ,3,0.0027290239726,-0.00136730509689,755,417,1
subsection,2,NN,3,0.0027290239726,-0.00136730509689,1742244,129148,1
subsets,2,NNS,3,0.0027290239726,-0.00136730509689,711524,121844,1
supported,2,VBD,3,0.0027290239726,-0.00136730509689,15473754,2127822,1
suppose,2,JJ,3,0.0027290239726,-0.00136730509689,17334126,1877454,1
suppose,2,VBP,3,0.0027290239726,-0.00136730509689,17334126,1877454,1
system,2,NN,3,0.0027290239726,-0.00136730509689,129453118,2818527,1
systems,2,NNS,3,0.0027290239726,-0.00136730509689,40336164,1848147,1
theory,2,NN,3,0.0027290239726,-0.00136730509689,45553601,2130931,1
0],2,CD,2,0.00181934931507,-0.000974139738616,,,1
1/2,2,CD,2,0.00181934931507,-0.000974139738616,548376712,3256736,1
2Re,2,CD,2,0.00181934931507,-0.000974139738616,3002,2116,1
AMS,2,NNP,2,0.00181934931507,-0.000974139738616,328516,67023,1
Additionally,2,NNP,2,0.00181934931507,-0.000974139738616,1750583,406468,1
Anal,2,NNP,2,0.00181934931507,-0.000974139738616,1391665,170629,1
BKU78,2,NNP,2,0.00181934931507,-0.000974139738616,,,1
C=,2,NNP,2,0.00181934931507,-0.000974139738616,,,1
California,2,NNP,2,0.00181934931507,-0.000974139738616,29685982,1797869,1
Cambridge,2,NNP,2,0.00181934931507,-0.000974139738616,15191305,1344091,1
