word,n_gram_score,pos,frequency,wordCount,match_count,volume_count,source
bidirectional,2,JJ,101,145045,176877,50841,1
simply,2,RB,101,145045,40066056,2721865,1
reversal,2,JJ,99,145045,2154170,693055,1
unchanged,2,JJ,97,145045,2639026,981710,1
Planck,2,NNP,96,145045,468386,83908,1
energies,2,NNS,96,145045,4141487,962218,1
relativity,2,NN,96,145045,904787,187105,1
scale,2,NN,96,145045,24819805,2210275,1
sign,2,JJ,96,145045,22190260,2519482,1
sign,2,VBP,96,145045,22190260,2519482,1
interactions,2,NNS,95,145045,6209042,604474,1
involved,2,VBN,95,145045,35997826,2540816,1
positive mass,10,NN,94,145045,4323,2569,1
signs,2,NNS,94,145045,15712339,2221136,1
creation,2,NN,93,145045,14116215,1843540,1
density,2,NN,93,145045,11929647,745433,1
energy particles,10,NNS,93,145045,27143,12331,1
experienced,2,VBD,92,145045,13967858,2212674,1
stress-energy,2,JJ,92,145045,1,1,1
possibility,2,NN,91,145045,17472241,2276397,1
clear,2,JJ,90,145045,53266852,2986056,1
observed,2,VBD,90,145045,30566709,2322066,1
event horizon,10,NN,89,145045,24983,5113,1
required,2,VBN,89,145045,54281786,2670999,1
reference,2,NN,88,145045,25464294,2296417,1
usually,2,RB,88,145045,64197596,2831053,1
appear,2,VBP,87,145045,39759425,2852934,1
dependent,2,JJ,87,145045,14946289,1871806,1
equivalent gravitational,10,JJ,85,145045,165,139,1
requirement,2,NN,85,145045,7774091,1159301,1
conditions,2,NNS,84,145045,57237712,2526960,1
appears,2,VBZ,83,145045,35115447,2567455,1
repulsive,2,JJ,83,145045,798201,398613,1
appropriate,2,JJ,82,145045,26925103,2267599,1
forces,2,NNS,82,145045,31785488,2183809,1
forward,2,RB,82,145045,29409481,2600818,1
measure,2,NN,82,145045,28319072,2526063,1
allowed,2,VBN,81,145045,28687065,2689219,1
negative action,10,NN,81,145045,12302,9731,1
description,2,NN,80,145045,19814117,2309868,1
space intervals,10,NNS,80,145045,2162,1557,1
entropy,2,NN,79,145045,1275544,102844,1
exist,2,VBP,79,145045,20669986,2397507,1
allows,2,VBZ,77,145045,12600414,1703086,1
occur,2,VBP,77,145045,28132087,2217264,1
operations sign,10,VBP,77,145045,1,1,1
context,2,JJ,76,145045,17914226,1368828,1
necessarily,2,RB,76,145045,14809231,2157512,1
negative energy,10,RB,76,145045,67987,26954,1
ordinary,2,JJ,76,145045,19953272,2243188,1
process,2,NN,76,145045,82831195,2651532,1
independently,2,RB,73,145045,4360843,1261797,1
irreversibility,2,NN,73,145045,94816,37679,1
observers,2,NNS,73,145045,3425125,883503,1
allowed,2,VBD,72,145045,28687065,2689219,1
attractive,2,JJ,72,145045,8058661,1872602,1
gravitational interaction,10,NN,72,145045,7195,3254,1
portion,2,NN,72,145045,22655193,2265008,1
classical,2,JJ,71,145045,8879328,1216472,1
concerning,2,VBG,71,145045,19122350,2007471,1
value,2,NN,71,145045,84905331,2741597,1
inertial mass,10,NN,70,145045,17148,4927,1
negative energy,10,VBP,70,145045,67987,26954,1
assume,2,JJ,69,145045,16153219,2239311,1
uniform,2,JJ,68,145045,10653307,1813161,1
conclusion,2,NN,67,145045,15583270,2160555,1
cosmological,2,JJ,67,145045,365333,84328,1
constraint,2,NN,66,145045,2435643,502162,1
defined,2,VBD,66,145045,27789293,2074725,1
processes,2,NNS,66,145045,22490237,1542314,1
property,2,NN,66,145045,49465924,2247781,1
similar,2,JJ,66,145045,53743968,2777375,1
freedom direction,10,NN,65,145045,1,1,1
particular,2,JJ,65,145045,59016401,2841449,1
conjugation,2,NN,64,145045,535568,87107,1
charge conjugation,10,NN,63,145045,8359,1896,1
thermodynamic,2,JJ,63,145045,743184,77066,1
attributable,2,JJ,62,145045,1764902,522303,1
energy sign,10,NN,62,145045,94,67,1
gravitational repulsion,10,NN,62,145045,509,297,1
masses,2,NNS,62,145045,7983916,1290558,1
significant,2,JJ,62,145045,32080655,2145213,1
systems,2,NNS,62,145045,40336164,1848147,1
angular,2,JJ,61,145045,3331620,457677,1
intervalsdiscrete,2,JJ,61,145045,1,1,1
involving,2,VBG,61,145045,10723921,1651584,1
reversed,2,VBN,61,145045,4080368,1237964,1
unit,2,NN,61,145045,26491947,1733853,1
violation,2,NN,61,145045,5470316,920554,1
concept,2,NN,60,145045,21334057,1579679,1
effects,2,NNS,60,145045,41348088,2296075,1
energy observers,10,NNS,60,145045,1,1,1
situation,2,NN,60,145045,42476964,2573406,1
total,2,JJ,60,145045,48721404,2528667,1
valid,2,JJ,60,145045,8249276,1360510,1
according,2,VBG,59,145045,41410661,2724312,1
energy bodies,10,NNS,59,145045,2812,913,1
momentumdiscrete,2,JJ,59,145045,1,1,1
momentumdiscrete symmetry,10,NN,59,145045,1,1,1
change,2,NN,58,145045,82386809,3062416,1
condition,2,NN,58,145045,40475540,2619659,1
pair,2,NN,58,145045,14077461,1939423,1
potential,2,JJ,58,145045,28939732,1789089,1
vacuum energy,10,NN,58,145045,9527,1716,1
void,2,NN,58,145045,5073668,1012681,1
conservation,2,NN,57,145045,3983673,548174,1
current,2,JJ,57,145045,43484748,2462803,1
freedomblack,2,VBP,57,145045,1,1,1
previously,2,RB,57,145045,16607667,2170163,1
quantum,2,JJ,57,145045,3125391,284622,1
continuity,2,NN,56,145045,4194185,958859,1
energy particle,10,NN,56,145045,9868,5830,1
hole particle,10,NN,56,145045,103,77,1
level,2,NN,56,145045,65265218,2679698,1
quantum,2,NN,56,145045,3125391,284622,1
configuration,2,NN,55,145045,5212902,593462,1
invariance,2,NN,55,145045,301635,50797,1
metric,2,JJ,55,145045,1967391,270139,1
positive vacuum,10,NN,55,145045,186,155,1
regarding,2,VBG,55,145045,14409670,1897634,1
reversing,2,VBG,55,145045,953441,449810,1
described,2,VBD,54,145045,43834932,2650403,1
applying,2,VBG,53,145045,6030862,1492586,1
assumption,2,NN,53,145045,10174663,1558747,1
gravitationally,2,RB,53,145045,25441,9313,1
related,2,VBN,53,145045,38694793,2452726,1
validity,2,NN,53,145045,6135257,1059688,1
attraction,2,NN,52,145045,3961393,1152096,1
hole event,10,NN,52,145045,712,474,1
hypothesis,2,NN,52,145045,8850385,890869,1
larger,2,JJR,52,145045,31888331,2727520,1
observer,2,NN,52,145045,4690327,1177214,1
physical parameters,10,NNS,52,145045,49290,27747,1
charge,2,VBP,51,145045,28291891,2430563,1
defined,2,VBN,51,145045,27789293,2074725,1
directions,2,NNS,51,145045,10322910,2106875,1
distinct,2,JJ,51,145045,15084408,2089300,1
frame,2,NN,51,145045,13581321,1970029,1
otherwise,2,RB,51,145045,22833177,2668927,1
space reversal,10,JJ,51,145045,129,83,1
symmetry operation,10,NN,51,145045,14286,3016,1
Tdiscrete,2,NNP,50,145045,1,1,1
Tdiscrete symmetry,10,NNP,50,145045,1,1,1
antiparticles,2,NNS,50,145045,20432,5171,1
assume,2,VBP,50,145045,16153219,2239311,1
energy portion,10,NN,50,145045,2176,1521,1
interpretation,2,NN,50,145045,15176708,1672412,1
opposite energy,10,JJ,50,145045,642,548,1
reversal Tdiscrete,10,VBP,50,145045,1,1,1
reversal operation,10,NN,50,145045,1209,718,1
temperature,2,NN,50,145045,32278988,1253833,1
unavoidable,2,JJ,50,145045,1288174,694062,1
annihilation,2,NN,49,145045,891659,381391,1
circumstances,2,NNS,49,145045,26575347,2386357,1
dealing,2,VBG,49,145045,11424327,2048646,1
invariant,2,JJ,49,145045,1390892,142375,1
irreversibility unidirectional,10,JJ,49,145045,1,1,1
PTC,2,NNP,48,145045,79416,14037,1
backward,2,RB,48,145045,5068004,1418325,1
difference,2,NN,48,145045,36980441,2757616,1
gravitational mass,10,NN,48,145045,12964,3949,1
occur,2,JJ,48,145045,28132087,2217264,1
occurring,2,VBG,48,145045,5866435,1219910,1
proposed,2,VBN,48,145045,20851926,2023725,1
single,2,JJ,48,145045,56610567,2967310,1
variation,2,NN,48,145045,10110452,1392413,1
Pdiscrete,2,NNP,47,145045,1,1,1
Pdiscrete symmetry,10,NNP,47,145045,1,1,1
consider,2,VB,47,145045,31496422,2655656,1
fields,2,NNS,47,145045,19135621,2202984,1
mass bodies,10,NNS,47,145045,416,298,1
missing,2,VBG,47,145045,7739262,1876152,1
parameter,2,NN,47,145045,5390719,285698,1
reversal Pdiscrete,10,JJ,47,145045,1,1,1
traditionally,2,RB,47,145045,2913819,899519,1
area,2,NN,46,145045,64951337,2416788,1
binary,2,JJ,46,145045,2965401,258368,1
inside,2,IN,46,145045,27482753,2410850,1
preceding,2,VBG,46,145045,11917987,1762838,1
recognized,2,VBN,46,145045,20426926,2307170,1
seem,2,VBP,46,145045,42065438,2864570,1
source,2,NN,46,145045,34528354,2612294,1
tensor,2,NN,46,145045,898624,54498,1
timediscrete,2,JJ,46,145045,1,1,1
timediscrete symmetry,10,NN,46,145045,1,1,1
freedom,2,VBP,45,145045,24789145,2208057,1
independent,2,JJ,45,145045,25398706,2239124,1
mathematical,2,JJ,45,145045,5846936,856757,1
processes,2,VBZ,45,145045,22490237,1542314,1
absolute,2,NN,44,145045,14719954,2032066,1
expect,2,VBP,44,145045,18827033,2506912,1
gravitational attraction,10,NN,44,145045,67261,23303,1
quantities,2,NNS,44,145045,8688646,1274790,1
rise,2,NN,44,145045,25811498,2607217,1
contributions,2,NNS,43,145045,8253876,1429087,1
energy density,10,NN,43,145045,185149,28715,1
energy negative,10,JJ,43,145045,527,448,1
gravitation Planck,10,NN,43,145045,70,69,1
gravitational field,10,JJ,43,145045,165366,37147,1
holes,2,NNS,43,145045,6427405,1308106,1
operations charge,10,VBP,43,145045,133,112,1
operations reversal,10,VBP,43,145045,1,1,1
singularity,2,NN,43,145045,545755,187402,1
additional,2,JJ,42,145045,24957627,2271998,1
amount,2,NN,42,145045,51540293,2674747,1
average,2,JJ,42,145045,34177842,2221505,1
clearly,2,RB,42,145045,29138298,2647513,1
energynegative,2,JJ,42,145045,1,1,1
physical properties,10,NNS,42,145045,705374,180383,1
problems,2,NNS,42,145045,55949196,2478147,1
remain,2,VBP,42,145045,27448130,2752920,1
results,2,NNS,42,145045,55717697,2569241,1
absolute,2,JJ,41,145045,14719954,2032066,1
alternative,2,JJ,41,145045,14625398,1764126,1
assumptions,2,NNS,41,145045,6540531,988983,1
based,2,VBN,41,145045,59855171,2511024,1
equilibrium,2,NN,41,145045,8582184,755783,1
experiencing,2,VBG,41,145045,2597786,881732,1
important,2,JJ,41,145045,106469653,3081755,1
negative inertial,10,JJ,41,145045,83,61,1
provided,2,VBD,41,145045,43361769,2679713,1
region,2,NN,41,145045,29792655,1870219,1
relation,2,NN,41,145045,26613867,2068025,1
transformation,2,NN,41,145045,8420557,1232526,1
action particles,10,NNS,40,145045,1,1,1
antimatter,2,NN,40,145045,58576,12731,1
apparent,2,JJ,40,145045,15845884,2275828,1
changes,2,NNS,40,145045,50296663,2681463,1
exchange,2,NN,40,145045,19752732,2007495,1
provide,2,VBP,40,145045,47414515,2562450,1
action sign,10,NN,39,145045,395,126,1
assumed,2,VBN,39,145045,17743931,2265186,1
consistent,2,JJ,39,145045,11460669,1738704,1
contribution,2,NN,39,145045,9518530,1628687,1
definition sign,10,NN,39,145045,1,1,1
elementary particles,10,NNS,39,145045,87798,26297,1
energy sign,10,JJ,39,145045,94,67,1
expected,2,VBN,39,145045,32945662,2694274,1
freedom bidirectional,10,JJ,39,145045,1,1,1
gravitational field,10,VBD,39,145045,165366,37147,1
located,2,VBN,39,145045,16847113,1830903,1
non-gravitational,2,JJ,39,145045,1,1,1
section,2,NN,39,145045,46534382,2407259,1
understood,2,JJ,39,145045,21489475,2521645,1
unique,2,JJ,39,145045,13772261,2026985,1
vary,2,JJ,39,145045,10505013,1627765,1
accelerating,2,VBG,38,145045,803766,366460,1
asymmetry,2,NN,38,145045,684014,172363,1
freedomblack hole,10,JJ,38,145045,1,1,1
identical,2,JJ,38,145045,9714587,1693309,1
nevertheless,2,RB,38,145045,9923129,1668299,1
potential energy,10,NN,38,145045,721195,89031,1
real,2,JJ,38,145045,63522110,2917253,1
requirement,2,JJ,38,145045,7774091,1159301,1
result,2,NN,38,145045,68380648,2849201,1
Newton's,2,NNP,37,145045,815899,167860,1
determined,2,VBD,37,145045,32568065,2656789,1
distinction,2,NN,37,145045,13161284,1867414,1
freedom,2,RB,37,145045,24789145,2208057,1
phenomenon,2,NN,37,145045,8570206,1436032,1
properly,2,RB,37,145045,14483008,2224578,1
radiation,2,NN,37,145045,8239014,454314,1
response,2,NN,37,145045,34228402,2139147,1
spin,2,NN,37,145045,3547528,770895,1
theoretical,2,JJ,37,145045,9338524,1151523,1
vacuum,2,VBP,37,145045,3992865,811305,1
discussed,2,VBD,36,145045,25355528,2237915,1
operations momentumdiscrete,10,VBP,36,145045,1,1,1
semi-classical,2,JJ,36,145045,1,1,1
surrounding,2,VBG,36,145045,9232521,1927209,1
variations,2,NNS,36,145045,8294024,1453163,1
void,2,JJ,36,145045,5073668,1012681,1
certainly,2,RB,35,145045,26982251,2539781,1
conventional,2,JJ,35,145045,8651519,1362952,1
discussed,2,VBN,35,145045,25355528,2237915,1
explain,2,VBP,35,145045,19324627,2484806,1
explained,2,VBD,35,145045,19087777,2417261,1
generalized,2,VBN,35,145045,3262962,637910,1
natural,2,JJ,35,145045,49617308,2795127,1
object,2,JJ,35,145045,38372890,2352172,1
objects,2,NNS,35,145045,22474329,1903578,1
positive energy,10,VBP,35,145045,60277,30217,1
scale,2,JJ,35,145045,24819805,2210275,1
time-related,2,JJ,35,145045,1,1,1
twice,2,RB,35,145045,14159373,2470386,1
vacuum energy,10,JJ,35,145045,9527,1716,1
assuming,2,VBG,34,145045,5639270,1564639,1
basic,2,JJ,34,145045,28892866,1922946,1
electric,2,JJ,34,145045,10882344,1331413,1
event horizon,10,JJ,34,145045,24983,5113,1
exists,2,VBZ,34,145045,14927472,2030476,1
field equations,10,NNS,34,145045,60688,11172,1
gravitational forces,10,NNS,34,145045,54528,26549,1
longer,2,RBR,34,145045,46527592,2994783,1
macroscopic,2,NN,34,145045,487121,98812,1
magnitude,2,NN,34,145045,7331980,1179360,1
maximum,2,JJ,34,145045,17572456,1492324,1
observer,2,IN,34,145045,4690327,1177214,1
reverse,2,JJ,34,145045,7128428,1705729,1
significance,2,NN,34,145045,14023120,1850015,1
theory,2,JJ,34,145045,45553601,2130931,1
violations,2,NNS,34,145045,2257216,486780,1
consider,2,VBP,33,145045,31496422,2655656,1
considering,2,VBG,33,145045,8854612,2061393,1
developments,2,NNS,33,145045,6363030,1263858,1
energynegative energy,10,NN,33,145045,1,1,1
equal,2,JJ,33,145045,37911772,2608629,1
equation,2,NN,33,145045,20764464,783993,1
gravitation elementary,10,JJ,33,145045,1,1,1
observer,2,RB,33,145045,4690327,1177214,1
particles,2,VBZ,33,145045,9598334,669762,1
various,2,JJ,33,145045,61631730,2862263,1
homogeneous,2,JJ,32,145045,3082234,642921,1
imposed,2,VBN,32,145045,8510482,1584436,1
intervalsdiscrete symmetry,10,NN,32,145045,1,1,1
mass negative,10,JJ,32,145045,120,107,1
preserving,2,VBG,32,145045,2784419,1164696,1
produce,2,VBP,32,145045,31846847,2500464,1
reversed,2,JJ,32,145045,4080368,1237964,1
sign preserving,10,VBG,32,145045,81,52,1
space intervalsdiscrete,10,JJ,32,145045,1,1,1
spacetime,2,JJ,32,145045,132769,17985,1
absolutely,2,RB,31,145045,10582871,2024038,1
choice,2,NN,31,145045,26337136,2616393,1
direct,2,JJ,31,145045,35864859,2673541,1
direction degree,10,NN,31,145045,51,48,1
discrete symmetry,10,VBP,31,145045,1886,769,1
encoded,2,VBD,31,145045,821218,167834,1
gravitational potential,10,JJ,31,145045,54462,11329,1
negative mass,10,JJ,31,145045,5568,2842,1
proposed,2,VBD,31,145045,20851926,2023725,1
quantity,2,NN,31,145045,15283143,1685817,1
submitted,2,VBD,31,145045,6397887,1346733,1
temperatures,2,NNS,31,145045,7178096,590913,1
timetime direction,10,NN,31,145045,1,1,1
toward,2,IN,31,145045,62962956,2640027,1
uncompensated gravitational,10,JJ,31,145045,1,1,1
basis,2,NN,30,145045,39579430,2382168,1
elementary unit,10,NN,30,145045,7851,4843,1
massnegative,2,JJ,30,145045,1,1,1
negative energies,10,NNS,30,145045,10545,5563,1
precisely,2,RB,30,145045,10258877,1776275,1
reverses,2,VBZ,30,145045,754960,434324,1
timetime,2,JJ,30,145045,1,1,1
universe,2,NN,30,145045,9569453,1188902,1
Cdiscrete,2,NNP,29,145045,1,1,1
Cdiscrete symmetry,10,NNP,29,145045,1,1,1
conjugation Cdiscrete,10,JJ,29,145045,1,1,1
constraints,2,NNS,29,145045,4436567,644516,1
cosmic,2,JJ,29,145045,2029581,387243,1
direction degree,10,VBP,29,145045,51,48,1
due,2,JJ,29,145045,49778392,2804458,1
energy pair,10,NN,29,145045,288,225,1
energydiscrete,2,JJ,29,145045,1,1,1
energydiscrete symmetry,10,NN,29,145045,1,1,1
follows,2,VBZ,29,145045,32209213,2493640,1
impossible,2,JJ,29,145045,23759473,2642825,1
inertial frame,10,NN,29,145045,33902,4958,1
intervalsdiscrete symmetry,10,VBP,29,145045,1,1,1
massnegative mass,10,NN,29,145045,1,1,1
measures,2,NNS,29,145045,20870340,1900507,1
notion,2,NN,29,145045,11824109,1605993,1
opposite energy,10,NN,29,145045,642,548,1
previous,2,JJ,29,145045,24314569,2547504,1
remains,2,VBZ,29,145045,24742775,2596274,1
spherical,2,JJ,29,145045,2167134,300868,1
approach,2,NN,28,145045,37571685,2550149,1
arbitrarily,2,RB,28,145045,1410623,603487,1
bound,2,NN,28,145045,19337481,2429577,1
center,2,NN,28,145045,30547607,2129704,1
chargediscrete,2,JJ,28,145045,1,1,1
chargediscrete symmetry,10,NN,28,145045,1,1,1
completely,2,RB,28,145045,25259169,2664972,1
consider,2,NN,28,145045,31496422,2655656,1
experience,2,NN,28,145045,60549348,2816618,1
filled,2,VBN,28,145045,24245202,2634077,1
gravitationally repulsive,10,JJ,28,145045,113,67,1
handedness,2,NN,28,145045,171101,64872,1
instead,2,RB,28,145045,32660820,2863664,1
negative gravitational,10,JJ,28,145045,911,599,1
observational,2,JJ,28,145045,682009,154663,1
opposite,2,VBP,28,145045,19750828,2506179,1
opposite action,10,NN,28,145045,7294,6070,1
positive action,10,NN,28,145045,104815,77559,1
propertiesdiscrete,2,JJ,28,145045,1,1,1
propertiesdiscrete symmetry,10,NN,28,145045,1,1,1
redefined,2,VBD,28,145045,354309,218815,1
sphere,2,RB,28,145045,7564390,1213396,1
submitted,2,VBN,28,145045,6397887,1346733,1
tensorsgeneral,2,JJ,28,145045,1,1,1
tensorsgeneral relativistic,10,JJ,28,145045,1,1,1
arising,2,VBG,27,145045,5473323,1199008,1
continuous,2,JJ,27,145045,13085338,1741783,1
currently,2,RB,27,145045,7105165,1198959,1
distributions,2,NNS,27,145045,3449070,348660,1
entropyblack,2,NN,27,145045,1,1,1
exact,2,JJ,27,145045,11020258,2197598,1
gravitational fields,10,NNS,27,145045,24567,11487,1
horizon degrees,10,NNS,27,145045,1,1,1
indirect,2,JJ,27,145045,5099164,1118336,1
informationblack,2,NN,27,145045,1,1,1
involve,2,VBP,27,145045,9236528,1640525,1
metric properties,10,NNS,27,145045,4749,2659,1
object,2,VBP,27,145045,38372890,2352172,1
operations angular,10,JJ,27,145045,1,1,1
physically,2,RB,27,145045,4956597,1432180,1
physics,2,NNS,27,145045,4178400,663540,1
reverse,2,NN,27,145045,7128428,1705729,1
specific,2,JJ,27,145045,46292096,2207356,1
stable,2,JJ,27,145045,10414146,1680764,1
wrong,2,JJ,27,145045,27182051,2504173,1
applied,2,VBD,26,145045,29741479,2426247,1
attributed,2,VBD,26,145045,6625910,1500831,1
difficulty,2,NN,26,145045,19000197,2370193,1
elevator,2,NN,26,145045,2334202,479227,1
fluctuations,2,NNS,26,145045,2410770,540896,1
meaningful,2,JJ,26,145045,4461968,1014758,1
produced,2,VBD,26,145045,37077109,2555725,1
related,2,JJ,26,145045,38694793,2452726,1
thermal,2,JJ,26,145045,4998591,323164,1
actual,2,JJ,25,145045,26867027,2487030,1
antiparticle,2,NN,25,145045,26396,5705,1
appropriately,2,RB,25,145045,2468829,957719,1
argument,2,NN,25,145045,20496385,2002041,1
big,2,JJ,25,145045,36487656,2325848,1
combined,2,VBD,25,145045,14723517,2229586,1
combined,2,VBN,25,145045,14723517,2229586,1
conception,2,NN,25,145045,9862196,1320171,1
discussion,2,NN,25,145045,29294009,2320629,1
elements,2,NNS,25,145045,31361610,2214631,1
explicitly,2,RB,25,145045,4550684,913696,1
formulation,2,NN,25,145045,3534830,699349,1
imbalance,2,NN,25,145045,1045617,367481,1
inertial gravitational,10,JJ,25,145045,1,1,1
informationblack hole,10,JJ,25,145045,1,1,1
local inertial,10,JJ,25,145045,2226,674,1
opposite,2,RB,25,145045,19750828,2506179,1
particles propagating,10,VBG,25,145045,257,220,1
relevant,2,JJ,25,145045,11147960,1207263,1
report,2,NN,25,145045,35915913,2388859,1
spatial,2,JJ,25,145045,4291262,439383,1
theory observer,10,NN,25,145045,1,1,1
unidirectional timediscrete,10,JJ,25,145045,1,1,1
allow,2,VBP,24,145045,25148884,2630919,1
applies,2,NNS,24,145045,7125124,1449156,1
arrow,2,NN,24,145045,4152573,837180,1
conceived,2,VBD,24,145045,6163225,1464616,1
consequences,2,NNS,24,145045,13261273,1826550,1
contained,2,VBD,24,145045,16831486,2352933,1
directly,2,RB,24,145045,32373087,2728100,1
elementary particle,10,NN,24,145045,35290,12285,1
external,2,JJ,24,145045,18214626,1613895,1
final,2,JJ,24,145045,31861942,2718753,1
hole entropyblack,10,NN,24,145045,1,1,1
inertia,2,NN,24,145045,1757532,420493,1
locally,2,RB,24,145045,2959082,760751,1
negative energy,10,IN,24,145045,67987,26954,1
object,2,NN,24,145045,38372890,2352172,1
obtain,2,VB,24,145045,21398638,2122934,1
original,2,JJ,24,145045,39430833,2761837,1
stress-energy tensorsgeneral,10,JJ,24,145045,1,1,1
theories,2,NNS,24,145045,10062162,1366984,1
using,2,VBG,24,145045,62112299,2792556,1
allow,2,JJ,23,145045,25148884,2630919,1
applied,2,VBN,23,145045,29741479,2426247,1
backward,2,NN,23,145045,5068004,1418325,1
constant,2,JJ,23,145045,27791277,2493384,1
definite,2,JJ,23,145045,10392911,1733259,1
entropyblack hole,10,JJ,23,145045,1,1,1
freedomdiscrete,2,JJ,23,145045,1,1,1
fundamental degrees,10,NNS,23,145045,352,241,1
gravitational field,10,VBP,23,145045,165366,37147,1
identified,2,VBN,23,145045,15545398,1875571,1
ignored,2,VBN,23,145045,6024468,1618956,1
initially,2,RB,23,145045,5812223,1108130,1
largest,2,JJS,23,145045,14137143,2042295,1
microscopic degrees,10,NNS,23,145045,467,300,1
observer dependent,10,JJ,23,145045,444,358,1
particle,2,VBP,23,145045,6153014,530364,1
principle,2,JJ,23,145045,27192877,2052768,1
reality,2,NN,23,145045,22319355,2188040,1
responsible,2,JJ,23,145045,19309837,2302602,1
shown,2,VBN,23,145045,57674809,2755286,1
sign reversing,10,VBG,23,145045,160,73,1
surface gravitational,10,JJ,23,145045,389,318,1
tensors,2,NNS,23,145045,146685,19257,1
zero,2,CD,23,145045,13204197,1072994,1
apply,2,RB,22,145045,19037331,2238631,1
aspects,2,NNS,22,145045,16747053,1843757,1
