word,pos,frequency,tf_idf,inf,source
Helton,NNP,8,0.00731025585896,-0.00305132762127,1
McCullough,NNP,8,0.00731025585896,-0.00305132762127,1
column,NN,8,0.00731025585896,-0.00305132762127,1
contains,NNS,8,0.00731025585896,-0.00305132762127,1
g-tuple,JJ,8,0.00731025585896,-0.00305132762127,1
item,NN,8,0.00731025585896,-0.00305132762127,1
matrix polynomial,NA,8,0.00731025585896,-0.00305132762127,1
minimal defining,NA,8,0.00731025585896,-0.00305132762127,1
operator pencil,NA,8,0.00731025585896,-0.00305132762127,1
pencil ball,NA,8,0.00731025585896,-0.00305132762127,1
section,NN,8,0.00731025585896,-0.00305132762127,1
tuple,NN,8,0.00731025585896,-0.00305132762127,1
1< j<,NA,7,0.00639647387659,-0.00274239691617,1
LMI,NNP,7,0.00639647387659,-0.00274239691617,1
Write,NNP,7,0.00639647387659,-0.00274239691617,1
assumption,NN,7,0.00639647387659,-0.00274239691617,1
ball,NN,7,0.00639647387659,-0.00274239691617,1
commutative,JJ,7,0.00639647387659,-0.00274239691617,1
denote,JJ,7,0.00639647387659,-0.00274239691617,1
finite,JJ,7,0.00639647387659,-0.00274239691617,1
hence,NN,7,0.00639647387659,-0.00274239691617,1
holds,VBZ,7,0.00639647387659,-0.00274239691617,1
j<,NN,7,0.00639647387659,-0.00274239691617,1
j=1,JJ,7,0.00639647387659,-0.00274239691617,1
noncommutative,JJ,7,0.00639647387659,-0.00274239691617,1
pair,NN,7,0.00639647387659,-0.00274239691617,1
prove,VBP,7,0.00639647387659,-0.00274239691617,1
separation,NN,7,0.00639647387659,-0.00274239691617,1
shows,NNS,7,0.00639647387659,-0.00274239691617,1
symmetric,JJ,7,0.00639647387659,-0.00274239691617,1
unit vector,NA,7,0.00639647387659,-0.00274239691617,1
Finally,NNP,6,0.00548269189422,-0.00242234999437,1
Free Circular,NA,6,0.00548269189422,-0.00242234999437,1
Klep,NNP,6,0.00548269189422,-0.00242234999437,1
Mathematics,NNP,6,0.00548269189422,-0.00242234999437,1
Moreover,RB,6,0.00548269189422,-0.00242234999437,1
Section,NNP,6,0.00548269189422,-0.00242234999437,1
circular matrix,NA,6,0.00548269189422,-0.00242234999437,1
coefficients,NNS,6,0.00548269189422,-0.00242234999437,1
convexity,NN,6,0.00548269189422,-0.00242234999437,1
described,VBD,6,0.00548269189422,-0.00242234999437,1
dimension,NN,6,0.00548269189422,-0.00242234999437,1
dimensional,JJ,6,0.00548269189422,-0.00242234999437,1
exists,NNS,6,0.00548269189422,-0.00242234999437,1
free polynomials,NA,6,0.00548269189422,-0.00242234999437,1
g-1,JJ,6,0.00548269189422,-0.00242234999437,1
inclusion,NN,6,0.00548269189422,-0.00242234999437,1
main,JJ,6,0.00548269189422,-0.00242234999437,1
p=1,NN,6,0.00548269189422,-0.00242234999437,1
reducing subspace,NA,6,0.00548269189422,-0.00242234999437,1
separation theorem,NA,6,0.00548269189422,-0.00242234999437,1
subpencil,NN,6,0.00548269189422,-0.00242234999437,1
subset,NN,6,0.00548269189422,-0.00242234999437,1
unitarily,RB,6,0.00548269189422,-0.00242234999437,1
whenever,WRB,6,0.00548269189422,-0.00242234999437,1
1},CD,5,0.00456890991185,-0.00208931796613,1
5]BVM,CD,5,0.00456890991185,-0.00208931796613,1
Furthermore,NNP,5,0.00456890991185,-0.00208931796613,1
Linear,NNP,5,0.00456890991185,-0.00208931796613,1
Note,NNP,5,0.00456890991185,-0.00208931796613,1
Observe,NNP,5,0.00456890991185,-0.00208931796613,1
Sets,NNP,5,0.00456890991185,-0.00208931796613,1
Soc,NNP,5,0.00456890991185,-0.00208931796613,1
Spectrahedra,NNP,5,0.00456890991185,-0.00208931796613,1
University,NNP,5,0.00456890991185,-0.00208931796613,1
admissible,JJ,5,0.00456890991185,-0.00208931796613,1
admissible chain,NA,5,0.00456890991185,-0.00208931796613,1
assumed,VBD,5,0.00456890991185,-0.00208931796613,1
basis,NN,5,0.00456890991185,-0.00208931796613,1
block zero,NA,5,0.00456890991185,-0.00208931796613,1
blocks,NNS,5,0.00456890991185,-0.00208931796613,1
closed,JJ,5,0.00456890991185,-0.00208931796613,1
complete,JJ,5,0.00456890991185,-0.00208931796613,1
complex,JJ,5,0.00456890991185,-0.00208931796613,1
contractions,NNS,5,0.00456890991185,-0.00208931796613,1
defining pencil,NA,5,0.00456890991185,-0.00208931796613,1
denote,VBP,5,0.00456890991185,-0.00208931796613,1
distinct,JJ,5,0.00456890991185,-0.00208931796613,1
finite dimensional,NA,5,0.00456890991185,-0.00208931796613,1
graded,VBD,5,0.00456890991185,-0.00208931796613,1
ij,NN,5,0.00456890991185,-0.00208931796613,1
implies,VBZ,5,0.00456890991185,-0.00208931796613,1
interior,JJ,5,0.00456890991185,-0.00208931796613,1
irrational,JJ,5,0.00456890991185,-0.00208931796613,1
itA,NN,5,0.00456890991185,-0.00208931796613,1
k=1,NN,5,0.00456890991185,-0.00208931796613,1
maps,NNS,5,0.00456890991185,-0.00208931796613,1
monic free,NA,5,0.00456890991185,-0.00208931796613,1
nonzero,NN,5,0.00456890991185,-0.00208931796613,1
paper,NN,5,0.00456890991185,-0.00208931796613,1
proof,JJ,5,0.00456890991185,-0.00208931796613,1
s=,NN,5,0.00456890991185,-0.00208931796613,1
sequence,NN,5,0.00456890991185,-0.00208931796613,1
shows,VBZ,5,0.00456890991185,-0.00208931796613,1
subspaces,NNS,5,0.00456890991185,-0.00208931796613,1
unitary matrix,NA,5,0.00456890991185,-0.00208931796613,1
vectors,NNS,5,0.00456890991185,-0.00208931796613,1
version,NN,5,0.00456890991185,-0.00208931796613,1
zero column,NA,5,0.00456890991185,-0.00208931796613,1
1< s<,NA,4,0.00365512792948,-0.0017406713359,1
2]HKM13,CD,4,0.00365512792948,-0.0017406713359,1
Assume,NNP,4,0.00365512792948,-0.0017406713359,1
BVM,NNP,4,0.00365512792948,-0.0017406713359,1
Circular Free,NA,4,0.00365512792948,-0.0017406713359,1
Convex,NNP,4,0.00365512792948,-0.0017406713359,1
Convex Sets,NA,4,0.00365512792948,-0.0017406713359,1
Define,NNP,4,0.00365512792948,-0.0017406713359,1
Department,NNP,4,0.00365512792948,-0.0017406713359,1
EW,NNP,4,0.00365512792948,-0.0017406713359,1
Effros-Winkler,NNP,4,0.00365512792948,-0.0017406713359,1
Free Spectrahedra,NA,4,0.00365512792948,-0.0017406713359,1
Gleichstellensatz,NNP,4,0.00365512792948,-0.0017406713359,1
Hahn-Banach separation,NA,4,0.00365512792948,-0.0017406713359,1
LMI defining,NA,4,0.00365512792948,-0.0017406713359,1
LMIs,NNP,4,0.00365512792948,-0.0017406713359,1
Matrix Convex,NA,4,0.00365512792948,-0.0017406713359,1
Operator,NNP,4,0.00365512792948,-0.0017406713359,1
U=,NNP,4,0.00365512792948,-0.0017406713359,1
Z=,NNP,4,0.00365512792948,-0.0017406713359,1
analysis,NN,4,0.00365512792948,-0.0017406713359,1
commutative,VBP,4,0.00365512792948,-0.0017406713359,1
compact,JJ,4,0.00365512792948,-0.0017406713359,1
consisting,VBG,4,0.00365512792948,-0.0017406713359,1
countable,JJ,4,0.00365512792948,-0.0017406713359,1
cross term,NA,4,0.00365512792948,-0.0017406713359,1
depending,VBG,4,0.00365512792948,-0.0017406713359,1
detailed boundary,NA,4,0.00365512792948,-0.0017406713359,1
elements,NNS,4,0.00365512792948,-0.0017406713359,1
evaluations,NNS,4,0.00365512792948,-0.0017406713359,1
exactly,RB,4,0.00365512792948,-0.0017406713359,1
freely,RB,4,0.00365512792948,-0.0017406713359,1
functional,JJ,4,0.00365512792948,-0.0017406713359,1
generality,NN,4,0.00365512792948,-0.0017406713359,1
identity,NN,4,0.00365512792948,-0.0017406713359,1
integer,NN,4,0.00365512792948,-0.0017406713359,1
isometry,NN,4,0.00365512792948,-0.0017406713359,1
loss,NN,4,0.00365512792948,-0.0017406713359,1
minimal LMI,NA,4,0.00365512792948,-0.0017406713359,1
monomial,JJ,4,0.00365512792948,-0.0017406713359,1
multiplication,NN,4,0.00365512792948,-0.0017406713359,1
ncr,JJ,4,0.00365512792948,-0.0017406713359,1
ncr,VBP,4,0.00365512792948,-0.0017406713359,1
nd,JJ,4,0.00365512792948,-0.0017406713359,1
nd g-1,NA,4,0.00365512792948,-0.0017406713359,1
needed,VBN,4,0.00365512792948,-0.0017406713359,1
noncommutative polynomials,NA,4,0.00365512792948,-0.0017406713359,1
numbers,NNS,4,0.00365512792948,-0.0017406713359,1
orthogonal,JJ,4,0.00365512792948,-0.0017406713359,1
orthonormal,JJ,4,0.00365512792948,-0.0017406713359,1
orthonormal basis,NA,4,0.00365512792948,-0.0017406713359,1
positive integer,NA,4,0.00365512792948,-0.0017406713359,1
product,NN,4,0.00365512792948,-0.0017406713359,1
proof,VBP,4,0.00365512792948,-0.0017406713359,1
proper,JJ,4,0.00365512792948,-0.0017406713359,1
relatively,RB,4,0.00365512792948,-0.0017406713359,1
relatively irrational,NA,4,0.00365512792948,-0.0017406713359,1
result,NN,4,0.00365512792948,-0.0017406713359,1
s<,NN,4,0.00365512792948,-0.0017406713359,1
self-adjoint,JJ,4,0.00365512792948,-0.0017406713359,1
suffices,NNS,4,0.00365512792948,-0.0017406713359,1
superdiagonal,JJ,4,0.00365512792948,-0.0017406713359,1
suppose,VBD,4,0.00365512792948,-0.0017406713359,1
term,NN,4,0.00365512792948,-0.0017406713359,1
tuples,NNS,4,0.00365512792948,-0.0017406713359,1
types,NNS,4,0.00365512792948,-0.0017406713359,1
unitaries,NNS,4,0.00365512792948,-0.0017406713359,1
unitarily,JJ,4,0.00365512792948,-0.0017406713359,1
univariate,JJ,4,0.00365512792948,-0.0017406713359,1
1< e<,NA,3,0.00274134594711,-0.00137243064113,1
2]Zal,CD,3,0.00274134594711,-0.00137243064113,1
Adv,NNP,3,0.00274134594711,-0.00137243064113,1
Amer,NNP,3,0.00274134594711,-0.00137243064113,1
Appendix,NNP,3,0.00274134594711,-0.00137243064113,1
Applying,NNP,3,0.00274134594711,-0.00137243064113,1
Applying Lemma,NA,3,0.00274134594711,-0.00137243064113,1
Ball,NNP,3,0.00274134594711,-0.00137243064113,1
Circular Matrix,NA,3,0.00274134594711,-0.00137243064113,1
Corollary,NNP,3,0.00274134594711,-0.00137243064113,1
Effros,NNP,3,0.00274134594711,-0.00137243064113,1
Equation,NNP,3,0.00274134594711,-0.00137243064113,1
Free,JJ,3,0.00274134594711,-0.00137243064113,1
Inequalities,NNP,3,0.00274134594711,-0.00137243064113,1
Linear Matrix,NA,3,0.00274134594711,-0.00137243064113,1
Matrix Inequalities,NA,3,0.00274134594711,-0.00137243064113,1
Paulsen,NNP,3,0.00274134594711,-0.00137243064113,1
Polynomials,NNP,3,0.00274134594711,-0.00137243064113,1
SIAM,NNP,3,0.00274134594711,-0.00137243064113,1
Theory,NNP,3,0.00274134594711,-0.00137243064113,1
appears,VBZ,3,0.00274134594711,-0.00137243064113,1
argument,NN,3,0.00274134594711,-0.00137243064113,1
article,NN,3,0.00274134594711,-0.00137243064113,1
canonical,JJ,3,0.00274134594711,-0.00137243064113,1
characterizing,VBG,3,0.00274134594711,-0.00137243064113,1
choice,NN,3,0.00274134594711,-0.00137243064113,1
classification,NN,3,0.00274134594711,-0.00137243064113,1
collection,NN,3,0.00274134594711,-0.00137243064113,1
completes,VBZ,3,0.00274134594711,-0.00137243064113,1
consequence,NN,3,0.00274134594711,-0.00137243064113,1
contain,VBP,3,0.00274134594711,-0.00137243064113,1
continuous,JJ,3,0.00274134594711,-0.00137243064113,1
contraction,NN,3,0.00274134594711,-0.00137243064113,1
contradiction,NN,3,0.00274134594711,-0.00137243064113,1
cr,JJ,3,0.00274134594711,-0.00137243064113,1
cr,NN,3,0.00274134594711,-0.00137243064113,1
definition,NN,3,0.00274134594711,-0.00137243064113,1
denote,VB,3,0.00274134594711,-0.00137243064113,1
desired,VBD,3,0.00274134594711,-0.00137243064113,1
detailed,VBD,3,0.00274134594711,-0.00137243064113,1
dimension e<,NA,3,0.00274134594711,-0.00137243064113,1
domains,VBZ,3,0.00274134594711,-0.00137243064113,1
effective,JJ,3,0.00274134594711,-0.00137243064113,1
empty,JJ,3,0.00274134594711,-0.00137243064113,1
evaluating,VBG,3,0.00274134594711,-0.00137243064113,1
fixed,VBN,3,0.00274134594711,-0.00137243064113,1
g-tuple,NN,3,0.00274134594711,-0.00137243064113,1
g-tuples,NNS,3,0.00274134594711,-0.00137243064113,1
geometry,NN,3,0.00274134594711,-0.00137243064113,1
gives,VBZ,3,0.00274134594711,-0.00137243064113,1
hypotheses,VBZ,3,0.00274134594711,-0.00137243064113,1
hypothesis,NN,3,0.00274134594711,-0.00137243064113,1
immediately,RB,3,0.00274134594711,-0.00137243064113,1
inequality,NN,3,0.00274134594711,-0.00137243064113,1
invariant,VBP,3,0.00274134594711,-0.00137243064113,1
involution,NN,3,0.00274134594711,-0.00137243064113,1
irreducible,JJ,3,0.00274134594711,-0.00137243064113,1
isometric,JJ,3,0.00274134594711,-0.00137243064113,1
isometries,NNS,3,0.00274134594711,-0.00137243064113,1
j],VBP,3,0.00274134594711,-0.00137243064113,1
letters,NNS,3,0.00274134594711,-0.00137243064113,1
linear matrix,NA,3,0.00274134594711,-0.00137243064113,1
location,NN,3,0.00274134594711,-0.00137243064113,1
m+1,NN,3,0.00274134594711,-0.00137243064113,1
m+n,NN,3,0.00274134594711,-0.00137243064113,1
matricial,JJ,3,0.00274134594711,-0.00137243064113,1
nN,JJ,3,0.00274134594711,-0.00137243064113,1
noncommuting,VBG,3,0.00274134594711,-0.00137243064113,1
none,NN,3,0.00274134594711,-0.00137243064113,1
norm,JJ,3,0.00274134594711,-0.00137243064113,1
notation,NN,3,0.00274134594711,-0.00137243064113,1
onto,IN,3,0.00274134594711,-0.00137243064113,1
orthogonal decomposition,NA,3,0.00274134594711,-0.00137243064113,1
pair,VBP,3,0.00274134594711,-0.00137243064113,1
pencils,NNS,3,0.00274134594711,-0.00137243064113,1
permutation,NN,3,0.00274134594711,-0.00137243064113,1
positive semidefinite,NA,3,0.00274134594711,-0.00137243064113,1
positivity,NN,3,0.00274134594711,-0.00137243064113,1
projection,NN,3,0.00274134594711,-0.00137243064113,1
prove Theorem,NA,3,0.00274134594711,-0.00137243064113,1
prove item,NA,3,0.00274134594711,-0.00137243064113,1
respectively,RB,3,0.00274134594711,-0.00137243064113,1
results,NNS,3,0.00274134594711,-0.00137243064113,1
rotations,NNS,3,0.00274134594711,-0.00137243064113,1
s=1,NN,3,0.00274134594711,-0.00137243064113,1
satisfies,NNS,3,0.00274134594711,-0.00137243064113,1
self-contained,JJ,3,0.00274134594711,-0.00137243064113,1
self-contained proof,NA,3,0.00274134594711,-0.00137243064113,1
sets,VBZ,3,0.00274134594711,-0.00137243064113,1
space,NN,3,0.00274134594711,-0.00137243064113,1
standard,JJ,3,0.00274134594711,-0.00137243064113,1
standard orthonormal,NA,3,0.00274134594711,-0.00137243064113,1
subsection,NN,3,0.00274134594711,-0.00137243064113,1
subset,VBD,3,0.00274134594711,-0.00137243064113,1
subsets,NNS,3,0.00274134594711,-0.00137243064113,1
supported,VBD,3,0.00274134594711,-0.00137243064113,1
suppose,JJ,3,0.00274134594711,-0.00137243064113,1
suppose,VBP,3,0.00274134594711,-0.00137243064113,1
system,NN,3,0.00274134594711,-0.00137243064113,1
systems,NNS,3,0.00274134594711,-0.00137243064113,1
theory,NN,3,0.00274134594711,-0.00137243064113,1
0],CD,2,0.00182756396474,-0.000977839430582,1
1/2,CD,2,0.00182756396474,-0.000977839430582,1
2Re,CD,2,0.00182756396474,-0.000977839430582,1
AMS,NNP,2,0.00182756396474,-0.000977839430582,1
Additionally,NNP,2,0.00182756396474,-0.000977839430582,1
Anal,NNP,2,0.00182756396474,-0.000977839430582,1
BKU78,NNP,2,0.00182756396474,-0.000977839430582,1
C=,NNP,2,0.00182756396474,-0.000977839430582,1
California,NNP,2,0.00182756396474,-0.000977839430582,1
Cambridge,NNP,2,0.00182756396474,-0.000977839430582,1
Choose,NNP,2,0.00182756396474,-0.000977839430582,1
Choosing,NNP,2,0.00182756396474,-0.000977839430582,1
Consequently,NNP,2,0.00182756396474,-0.000977839430582,1
Control,NNP,2,0.00182756396474,-0.000977839430582,1
Effros-Winkler Theorem,NA,2,0.00182756396474,-0.000977839430582,1
Equivalently,RB,2,0.00182756396474,-0.000977839430582,1
Farenick,NNP,2,0.00182756396474,-0.000977839430582,1
Fix positive,NA,2,0.00182756396474,-0.000977839430582,1
Free Polynomials,NA,2,0.00182756396474,-0.000977839430582,1
Free Spectrahedron,NA,2,0.00182756396474,-0.000977839430582,1
Function,NNP,2,0.00182756396474,-0.000977839430582,1
Function Theory,NA,2,0.00182756396474,-0.000977839430582,1
HKM12,NNP,2,0.00182756396474,-0.000977839430582,1
HKM16,NNP,2,0.00182756396474,-0.000977839430582,1
Hilbert,NNP,2,0.00182756396474,-0.000977839430582,1
Hilbert space,NA,2,0.00182756396474,-0.000977839430582,1
Hilbert-Schmidt,NNP,2,0.00182756396474,-0.000977839430582,1
Hilbert-Schmidt norm,NA,2,0.00182756396474,-0.000977839430582,1
Invariant,NNP,2,0.00182756396474,-0.000977839430582,1
Likewise,NNP,2,0.00182756396474,-0.000977839430582,1
London,NNP,2,0.00182756396474,-0.000977839430582,1
Mathematical,NNP,2,0.00182756396474,-0.000977839430582,1
NSF,NNP,2,0.00182756396474,-0.000977839430582,1
NSF grant,NA,2,0.00182756396474,-0.000977839430582,1
Noncommutative,NNP,2,0.00182756396474,-0.000977839430582,1
Pencil,NNP,2,0.00182756396474,-0.000977839430582,1
Positivstellensatz,NNP,2,0.00182756396474,-0.000977839430582,1
Proof,NNP,2,0.00182756396474,-0.000977839430582,1
Putinar,NNP,2,0.00182756396474,-0.000977839430582,1
Reinhardt,NNP,2,0.00182756396474,-0.000977839430582,1
Reinhardt domains,NA,2,0.00182756396474,-0.000977839430582,1
Rotationally,NNP,2,0.00182756396474,-0.000977839430582,1
Rotationally invariant,NA,2,0.00182756396474,-0.000977839430582,1
San,NNP,2,0.00182756396474,-0.000977839430582,1
Series,NNP,2,0.00182756396474,-0.000977839430582,1
Similarly,RB,2,0.00182756396474,-0.000977839430582,1
Society,NNP,2,0.00182756396474,-0.000977839430582,1
Spectrahedron,NNP,2,0.00182756396474,-0.000977839430582,1
Studies,NNP,2,0.00182756396474,-0.000977839430582,1
Taylor,NNP,2,0.00182756396474,-0.000977839430582,1
U=U,NNP,2,0.00182756396474,-0.000977839430582,1
Using,NNP,2,0.00182756396474,-0.000977839430582,1
Vinnikov,NNP,2,0.00182756396474,-0.000977839430582,1
William,NNP,2,0.00182756396474,-0.000977839430582,1
William Helton,NA,2,0.00182756396474,-0.000977839430582,1
Winkler,NNP,2,0.00182756396474,-0.000977839430582,1
acts,NNS,2,0.00182756396474,-0.000977839430582,1
affine,NN,2,0.00182756396474,-0.000977839430582,1
affine linear,NA,2,0.00182756396474,-0.000977839430582,1
algebra,NN,2,0.00182756396474,-0.000977839430582,1
algebraic geometry,NA,2,0.00182756396474,-0.000977839430582,1
analog,NN,2,0.00182756396474,-0.000977839430582,1
appear,VBP,2,0.00182756396474,-0.000977839430582,1
application,NN,2,0.00182756396474,-0.000977839430582,1
appropriate,VBP,2,0.00182756396474,-0.000977839430582,1
appropriate sizes,NA,2,0.00182756396474,-0.000977839430582,1
assume,JJ,2,0.00182756396474,-0.000977839430582,1
balanced implies,NA,2,0.00182756396474,-0.000977839430582,1
block superdiagonal,NA,2,0.00182756396474,-0.000977839430582,1
bound,NN,2,0.00182756396474,-0.000977839430582,1
bounded,VBD,2,0.00182756396474,-0.000977839430582,1
canonical shuffle,NA,2,0.00182756396474,-0.000977839430582,1
cf,NN,2,0.00182756396474,-0.000977839430582,1
characterize,VBP,2,0.00182756396474,-0.000977839430582,1
characterize free,NA,2,0.00182756396474,-0.000977839430582,1
choose,JJ,2,0.00182756396474,-0.000977839430582,1
circular subsets,NA,2,0.00182756396474,-0.000977839430582,1
class,NN,2,0.00182756396474,-0.000977839430582,1
classical,JJ,2,0.00182756396474,-0.000977839430582,1
classify,VB,2,0.00182756396474,-0.000977839430582,1
closed matrix,NA,2,0.00182756396474,-0.000977839430582,1
commuting,VBG,2,0.00182756396474,-0.000977839430582,1
completes,NNS,2,0.00182756396474,-0.000977839430582,1
complex variables,NA,2,0.00182756396474,-0.000977839430582,1
conclude,VBP,2,0.00182756396474,-0.000977839430582,1
conjugating,VBG,2,0.00182756396474,-0.000977839430582,1
consider,NN,2,0.00182756396474,-0.000977839430582,1
considers,NNS,2,0.00182756396474,-0.000977839430582,1
considers matrix,NA,2,0.00182756396474,-0.000977839430582,1
construction,NN,2,0.00182756396474,-0.000977839430582,1
contained,VBN,2,0.00182756396474,-0.000977839430582,1
containing,VBG,2,0.00182756396474,-0.000977839430582,1
contractive,JJ,2,0.00182756396474,-0.000977839430582,1
contradicting,VBG,2,0.00182756396474,-0.000977839430582,1
convenience,NN,2,0.00182756396474,-0.000977839430582,1
convex,VBP,2,0.00182756396474,-0.000977839430582,1
corresponding,VBG,2,0.00182756396474,-0.000977839430582,1
define,NN,2,0.00182756396474,-0.000977839430582,1
define,VBP,2,0.00182756396474,-0.000977839430582,1
defined,VBD,2,0.00182756396474,-0.000977839430582,1
defined,VBN,2,0.00182756396474,-0.000977839430582,1
defining subpencil,NA,2,0.00182756396474,-0.000977839430582,1
degree,NN,2,0.00182756396474,-0.000977839430582,1
dense,NN,2,0.00182756396474,-0.000977839430582,1
determined,VBD,2,0.00182756396474,-0.000977839430582,1
diagonal,JJ,2,0.00182756396474,-0.000977839430582,1
direction,NN,2,0.00182756396474,-0.000977839430582,1
domain,NN,2,0.00182756396474,-0.000977839430582,1
domains,NNS,2,0.00182756396474,-0.000977839430582,1
d},JJ,2,0.00182756396474,-0.000977839430582,1
d},NN,2,0.00182756396474,-0.000977839430582,1
e<,FW,2,0.00182756396474,-0.000977839430582,1
e<,JJ,2,0.00182756396474,-0.000977839430582,1
e<,NN,2,0.00182756396474,-0.000977839430582,1
edu,VBD,2,0.00182756396474,-0.000977839430582,1
effective version,NA,2,0.00182756396474,-0.000977839430582,1
entry,NN,2,0.00182756396474,-0.000977839430582,1
equations,NNS,2,0.00182756396474,-0.000977839430582,1
