word,n_gram_score,pos,frequency,tf_idf,inf,source
circular,2,NN,10,0.00909674657534,-0.00362822860806,1
direct sums,10,NNS,10,0.00909674657534,-0.00362822860806,1
equivalence,2,NN,10,0.00909674657534,-0.00362822860806,1
equivalent,2,JJ,10,0.00909674657534,-0.00362822860806,1
homogeneous,2,JJ,10,0.00909674657534,-0.00362822860806,1
integers,2,NNS,10,0.00909674657534,-0.00362822860806,1
matrix balanced,10,VBD,10,0.00909674657534,-0.00362822860806,1
positive integers,10,NNS,10,0.00909674657534,-0.00362822860806,1
reducing,2,VBG,10,0.00909674657534,-0.00362822860806,1
sum,2,NN,10,0.00909674657534,-0.00362822860806,1
sums,2,NNS,10,0.00909674657534,-0.00362822860806,1
tuple,2,JJ,10,0.00909674657534,-0.00362822860806,1
unitarily equivalent,10,JJ,10,0.00909674657534,-0.00362822860806,1
unitary equivalence,10,NN,10,0.00909674657534,-0.00362822860806,1
vector,2,NN,10,0.00909674657534,-0.00362822860806,1
Matrix,2,NNP,9,0.00818707191781,-0.00333860929183,1
block decomposition,10,NN,9,0.00818707191781,-0.00333860929183,1
implies,2,NNS,9,0.00818707191781,-0.00333860929183,1
theorem,2,NN,9,0.00818707191781,-0.00333860929183,1
unit,2,NN,9,0.00818707191781,-0.00333860929183,1
zero,2,CD,9,0.00818707191781,-0.00333860929183,1
Circular,2,NNP,8,0.00727739726027,-0.0030403945709,1
Fix,2,NNP,8,0.00727739726027,-0.0030403945709,1
Hahn-Banach,2,NNP,8,0.00727739726027,-0.0030403945709,1
Helton,2,NNP,8,0.00727739726027,-0.0030403945709,1
McCullough,2,NNP,8,0.00727739726027,-0.0030403945709,1
column,2,NN,8,0.00727739726027,-0.0030403945709,1
contains,2,NNS,8,0.00727739726027,-0.0030403945709,1
denote,2,JJ,8,0.00727739726027,-0.0030403945709,1
g-tuple,2,JJ,8,0.00727739726027,-0.0030403945709,1
hence,2,NN,8,0.00727739726027,-0.0030403945709,1
item,2,NN,8,0.00727739726027,-0.0030403945709,1
matrix polynomial,10,JJ,8,0.00727739726027,-0.0030403945709,1
section,2,NN,8,0.00727739726027,-0.0030403945709,1
tuple,2,NN,8,0.00727739726027,-0.0030403945709,1
1< j<,10,CD,7,0.00636772260274,-0.00273250468584,1
LMI,2,NNP,7,0.00636772260274,-0.00273250468584,1
Write,2,NNP,7,0.00636772260274,-0.00273250468584,1
assumption,2,NN,7,0.00636772260274,-0.00273250468584,1
ball,2,NN,7,0.00636772260274,-0.00273250468584,1
commutative,2,JJ,7,0.00636772260274,-0.00273250468584,1
commutative cross,10,VBP,7,0.00636772260274,-0.00273250468584,1
direct sum,10,NN,7,0.00636772260274,-0.00273250468584,1
finite,2,JJ,7,0.00636772260274,-0.00273250468584,1
holds,2,VBZ,7,0.00636772260274,-0.00273250468584,1
j<,2,NN,7,0.00636772260274,-0.00273250468584,1
j=1,2,JJ,7,0.00636772260274,-0.00273250468584,1
matrix convex,10,JJ,7,0.00636772260274,-0.00273250468584,1
minimal defining,10,VBG,7,0.00636772260274,-0.00273250468584,1
noncommutative,2,JJ,7,0.00636772260274,-0.00273250468584,1
pair,2,NN,7,0.00636772260274,-0.00273250468584,1
prove,2,VBP,7,0.00636772260274,-0.00273250468584,1
separation,2,NN,7,0.00636772260274,-0.00273250468584,1
shows,2,NNS,7,0.00636772260274,-0.00273250468584,1
subset,2,NN,7,0.00636772260274,-0.00273250468584,1
symmetric,2,JJ,7,0.00636772260274,-0.00273250468584,1
Finally,2,NNP,6,0.00545804794521,-0.00241354854995,1
Free Circular,10,NNP,6,0.00545804794521,-0.00241354854995,1
Klep,2,NNP,6,0.00545804794521,-0.00241354854995,1
Mathematics,2,NNP,6,0.00545804794521,-0.00241354854995,1
Moreover,2,RB,6,0.00545804794521,-0.00241354854995,1
Section,2,NNP,6,0.00545804794521,-0.00241354854995,1
circular matrix,10,NN,6,0.00545804794521,-0.00241354854995,1
coefficients,2,NNS,6,0.00545804794521,-0.00241354854995,1
convexity,2,NN,6,0.00545804794521,-0.00241354854995,1
described,2,VBD,6,0.00545804794521,-0.00241354854995,1
dimension,2,NN,6,0.00545804794521,-0.00241354854995,1
dimensional,2,JJ,6,0.00545804794521,-0.00241354854995,1
exists,2,NNS,6,0.00545804794521,-0.00241354854995,1
free polynomials,10,NNS,6,0.00545804794521,-0.00241354854995,1
free spectrahedra,10,JJ,6,0.00545804794521,-0.00241354854995,1
g-1,2,JJ,6,0.00545804794521,-0.00241354854995,1
inclusion,2,NN,6,0.00545804794521,-0.00241354854995,1
main,2,JJ,6,0.00545804794521,-0.00241354854995,1
p=1,2,NN,6,0.00545804794521,-0.00241354854995,1
pencil ball,10,NN,6,0.00545804794521,-0.00241354854995,1
subpencil,2,NN,6,0.00545804794521,-0.00241354854995,1
unitarily,2,RB,6,0.00545804794521,-0.00241354854995,1
whenever,2,WRB,6,0.00545804794521,-0.00241354854995,1
5]BVM,2,CD,5,0.00454837328767,-0.00208166567389,1
Furthermore,2,NNP,5,0.00454837328767,-0.00208166567389,1
Linear,2,NNP,5,0.00454837328767,-0.00208166567389,1
Note,2,NNP,5,0.00454837328767,-0.00208166567389,1
Observe,2,NNP,5,0.00454837328767,-0.00208166567389,1
Sets,2,NNP,5,0.00454837328767,-0.00208166567389,1
Soc,2,NNP,5,0.00454837328767,-0.00208166567389,1
Spectrahedra,2,NNP,5,0.00454837328767,-0.00208166567389,1
University,2,NNP,5,0.00454837328767,-0.00208166567389,1
admissible,2,JJ,5,0.00454837328767,-0.00208166567389,1
assumed,2,VBD,5,0.00454837328767,-0.00208166567389,1
basis,2,NN,5,0.00454837328767,-0.00208166567389,1
blocks,2,NNS,5,0.00454837328767,-0.00208166567389,1
circular free,10,JJ,5,0.00454837328767,-0.00208166567389,1
closed,2,JJ,5,0.00454837328767,-0.00208166567389,1
complete,2,JJ,5,0.00454837328767,-0.00208166567389,1
complex,2,JJ,5,0.00454837328767,-0.00208166567389,1
contractions,2,NNS,5,0.00454837328767,-0.00208166567389,1
denote,2,VBP,5,0.00454837328767,-0.00208166567389,1
distinct,2,JJ,5,0.00454837328767,-0.00208166567389,1
finite dimensional,10,JJ,5,0.00454837328767,-0.00208166567389,1
graded,2,VBD,5,0.00454837328767,-0.00208166567389,1
ij,2,NN,5,0.00454837328767,-0.00208166567389,1
implies,2,VBZ,5,0.00454837328767,-0.00208166567389,1
interior,2,JJ,5,0.00454837328767,-0.00208166567389,1
irrational,2,JJ,5,0.00454837328767,-0.00208166567389,1
itA,2,NN,5,0.00454837328767,-0.00208166567389,1
k=1,2,NN,5,0.00454837328767,-0.00208166567389,1
maps,2,NNS,5,0.00454837328767,-0.00208166567389,1
nonzero,2,NN,5,0.00454837328767,-0.00208166567389,1
paper,2,NN,5,0.00454837328767,-0.00208166567389,1
proof,2,JJ,5,0.00454837328767,-0.00208166567389,1
reducing subspace,10,NN,5,0.00454837328767,-0.00208166567389,1
s=,2,NN,5,0.00454837328767,-0.00208166567389,1
separation theorem,10,NN,5,0.00454837328767,-0.00208166567389,1
sequence,2,NN,5,0.00454837328767,-0.00208166567389,1
shows,2,VBZ,5,0.00454837328767,-0.00208166567389,1
subspaces,2,NNS,5,0.00454837328767,-0.00208166567389,1
unit vector,10,NN,5,0.00454837328767,-0.00208166567389,1
unitary matrix,10,JJ,5,0.00454837328767,-0.00208166567389,1
vectors,2,NNS,5,0.00454837328767,-0.00208166567389,1
version,2,NN,5,0.00454837328767,-0.00208166567389,1
zero column,10,NN,5,0.00454837328767,-0.00208166567389,1
1< s<,10,CD,4,0.00363869863014,-0.00173423838134,1
2]HKM13,2,CD,4,0.00363869863014,-0.00173423838134,1
Assume,2,NNP,4,0.00363869863014,-0.00173423838134,1
BVM,2,NNP,4,0.00363869863014,-0.00173423838134,1
Circular Free,10,NNP,4,0.00363869863014,-0.00173423838134,1
Convex,2,NNP,4,0.00363869863014,-0.00173423838134,1
Convex Sets,10,NNP,4,0.00363869863014,-0.00173423838134,1
Define,2,NNP,4,0.00363869863014,-0.00173423838134,1
Department,2,NNP,4,0.00363869863014,-0.00173423838134,1
EW,2,NNP,4,0.00363869863014,-0.00173423838134,1
Effros-Winkler,2,NNP,4,0.00363869863014,-0.00173423838134,1
Free Spectrahedra,10,NNP,4,0.00363869863014,-0.00173423838134,1
Gleichstellensatz,2,NNP,4,0.00363869863014,-0.00173423838134,1
Hahn-Banach separation,10,NNP,4,0.00363869863014,-0.00173423838134,1
LMIs,2,NNP,4,0.00363869863014,-0.00173423838134,1
Matrix Convex,10,NNP,4,0.00363869863014,-0.00173423838134,1
Operator,2,NNP,4,0.00363869863014,-0.00173423838134,1
U=,2,NNP,4,0.00363869863014,-0.00173423838134,1
Z=,2,NNP,4,0.00363869863014,-0.00173423838134,1
analysis,2,NN,4,0.00363869863014,-0.00173423838134,1
block zero,10,NN,4,0.00363869863014,-0.00173423838134,1
circular free,10,NN,4,0.00363869863014,-0.00173423838134,1
commutative,2,VBP,4,0.00363869863014,-0.00173423838134,1
commutative cross,10,NN,4,0.00363869863014,-0.00173423838134,1
compact,2,JJ,4,0.00363869863014,-0.00173423838134,1
consisting,2,VBG,4,0.00363869863014,-0.00173423838134,1
countable,2,JJ,4,0.00363869863014,-0.00173423838134,1
depending,2,VBG,4,0.00363869863014,-0.00173423838134,1
elements,2,NNS,4,0.00363869863014,-0.00173423838134,1
evaluations,2,NNS,4,0.00363869863014,-0.00173423838134,1
exactly,2,RB,4,0.00363869863014,-0.00173423838134,1
free matrix,10,JJ,4,0.00363869863014,-0.00173423838134,1
free spectrahedron,10,VBP,4,0.00363869863014,-0.00173423838134,1
freely,2,RB,4,0.00363869863014,-0.00173423838134,1
functional,2,JJ,4,0.00363869863014,-0.00173423838134,1
generality,2,NN,4,0.00363869863014,-0.00173423838134,1
identity,2,NN,4,0.00363869863014,-0.00173423838134,1
integer,2,NN,4,0.00363869863014,-0.00173423838134,1
isometry,2,NN,4,0.00363869863014,-0.00173423838134,1
loss,2,NN,4,0.00363869863014,-0.00173423838134,1
m+1,2,NN,4,0.00363869863014,-0.00173423838134,1
matrix convex,10,VBP,4,0.00363869863014,-0.00173423838134,1
monomial,2,JJ,4,0.00363869863014,-0.00173423838134,1
multiplication,2,NN,4,0.00363869863014,-0.00173423838134,1
ncr,2,JJ,4,0.00363869863014,-0.00173423838134,1
ncr,2,VBP,4,0.00363869863014,-0.00173423838134,1
nd,2,JJ,4,0.00363869863014,-0.00173423838134,1
nd g-1,10,JJ,4,0.00363869863014,-0.00173423838134,1
needed,2,VBN,4,0.00363869863014,-0.00173423838134,1
noncommutative polynomials,10,NNS,4,0.00363869863014,-0.00173423838134,1
numbers,2,NNS,4,0.00363869863014,-0.00173423838134,1
operator pencil,10,IN,4,0.00363869863014,-0.00173423838134,1
orthogonal,2,JJ,4,0.00363869863014,-0.00173423838134,1
orthonormal,2,JJ,4,0.00363869863014,-0.00173423838134,1
orthonormal basis,10,NN,4,0.00363869863014,-0.00173423838134,1
positive integer,10,NN,4,0.00363869863014,-0.00173423838134,1
product,2,NN,4,0.00363869863014,-0.00173423838134,1
proof,2,VBP,4,0.00363869863014,-0.00173423838134,1
proper,2,JJ,4,0.00363869863014,-0.00173423838134,1
relatively,2,RB,4,0.00363869863014,-0.00173423838134,1
relatively irrational,10,JJ,4,0.00363869863014,-0.00173423838134,1
result,2,NN,4,0.00363869863014,-0.00173423838134,1
s<,2,NN,4,0.00363869863014,-0.00173423838134,1
self-adjoint,2,JJ,4,0.00363869863014,-0.00173423838134,1
suffices,2,NNS,4,0.00363869863014,-0.00173423838134,1
superdiagonal,2,JJ,4,0.00363869863014,-0.00173423838134,1
suppose,2,VBD,4,0.00363869863014,-0.00173423838134,1
term,2,NN,4,0.00363869863014,-0.00173423838134,1
tuples,2,NNS,4,0.00363869863014,-0.00173423838134,1
types,2,NNS,4,0.00363869863014,-0.00173423838134,1
unitaries,2,NNS,4,0.00363869863014,-0.00173423838134,1
unitarily,2,JJ,4,0.00363869863014,-0.00173423838134,1
univariate,2,JJ,4,0.00363869863014,-0.00173423838134,1
1< e<,10,CD,3,0.0027290239726,-0.00136730509689,1
2]Zal,2,CD,3,0.0027290239726,-0.00136730509689,1
Adv,2,NNP,3,0.0027290239726,-0.00136730509689,1
Amer,2,NNP,3,0.0027290239726,-0.00136730509689,1
Appendix,2,NNP,3,0.0027290239726,-0.00136730509689,1
Applying,2,NNP,3,0.0027290239726,-0.00136730509689,1
Applying Lemma,10,NNP,3,0.0027290239726,-0.00136730509689,1
Ball,2,NNP,3,0.0027290239726,-0.00136730509689,1
Circular Matrix,10,NNP,3,0.0027290239726,-0.00136730509689,1
Corollary,2,NNP,3,0.0027290239726,-0.00136730509689,1
Effros,2,NNP,3,0.0027290239726,-0.00136730509689,1
Equation,2,NNP,3,0.0027290239726,-0.00136730509689,1
Free,2,JJ,3,0.0027290239726,-0.00136730509689,1
Inequalities,2,NNP,3,0.0027290239726,-0.00136730509689,1
Linear Matrix,10,NNP,3,0.0027290239726,-0.00136730509689,1
Matrix Inequalities,10,NNP,3,0.0027290239726,-0.00136730509689,1
Paulsen,2,NNP,3,0.0027290239726,-0.00136730509689,1
Polynomials,2,NNP,3,0.0027290239726,-0.00136730509689,1
SIAM,2,NNP,3,0.0027290239726,-0.00136730509689,1
Theory,2,NNP,3,0.0027290239726,-0.00136730509689,1
admissible chain,10,VBP,3,0.0027290239726,-0.00136730509689,1
appears,2,VBZ,3,0.0027290239726,-0.00136730509689,1
argument,2,NN,3,0.0027290239726,-0.00136730509689,1
article,2,NN,3,0.0027290239726,-0.00136730509689,1
canonical,2,JJ,3,0.0027290239726,-0.00136730509689,1
characterizing,2,VBG,3,0.0027290239726,-0.00136730509689,1
choice,2,NN,3,0.0027290239726,-0.00136730509689,1
classification,2,NN,3,0.0027290239726,-0.00136730509689,1
collection,2,NN,3,0.0027290239726,-0.00136730509689,1
completes,2,VBZ,3,0.0027290239726,-0.00136730509689,1
consequence,2,NN,3,0.0027290239726,-0.00136730509689,1
contain,2,VBP,3,0.0027290239726,-0.00136730509689,1
continuous,2,JJ,3,0.0027290239726,-0.00136730509689,1
contraction,2,NN,3,0.0027290239726,-0.00136730509689,1
contradiction,2,NN,3,0.0027290239726,-0.00136730509689,1
cr,2,JJ,3,0.0027290239726,-0.00136730509689,1
cr,2,NN,3,0.0027290239726,-0.00136730509689,1
defining pencil,10,NN,3,0.0027290239726,-0.00136730509689,1
definition,2,NN,3,0.0027290239726,-0.00136730509689,1
desired,2,VBD,3,0.0027290239726,-0.00136730509689,1
detailed,2,VBD,3,0.0027290239726,-0.00136730509689,1
detailed boundary,10,JJ,3,0.0027290239726,-0.00136730509689,1
dimension e<,10,NN,3,0.0027290239726,-0.00136730509689,1
domains,2,VBZ,3,0.0027290239726,-0.00136730509689,1
effective,2,JJ,3,0.0027290239726,-0.00136730509689,1
empty,2,JJ,3,0.0027290239726,-0.00136730509689,1
evaluating,2,VBG,3,0.0027290239726,-0.00136730509689,1
fixed,2,VBN,3,0.0027290239726,-0.00136730509689,1
free matrix,10,NN,3,0.0027290239726,-0.00136730509689,1
g-tuple,2,NN,3,0.0027290239726,-0.00136730509689,1
g-tuples,2,NNS,3,0.0027290239726,-0.00136730509689,1
geometry,2,NN,3,0.0027290239726,-0.00136730509689,1
gives,2,VBZ,3,0.0027290239726,-0.00136730509689,1
homogeneous linear,10,JJ,3,0.0027290239726,-0.00136730509689,1
homogeneous linear,10,NN,3,0.0027290239726,-0.00136730509689,1
homogeneous linear,10,VBP,3,0.0027290239726,-0.00136730509689,1
hypotheses,2,VBZ,3,0.0027290239726,-0.00136730509689,1
hypothesis,2,NN,3,0.0027290239726,-0.00136730509689,1
immediately,2,RB,3,0.0027290239726,-0.00136730509689,1
inequality,2,NN,3,0.0027290239726,-0.00136730509689,1
invariant,2,VBP,3,0.0027290239726,-0.00136730509689,1
involution,2,NN,3,0.0027290239726,-0.00136730509689,1
irreducible,2,JJ,3,0.0027290239726,-0.00136730509689,1
isometric,2,JJ,3,0.0027290239726,-0.00136730509689,1
isometries,2,NNS,3,0.0027290239726,-0.00136730509689,1
j],2,VBP,3,0.0027290239726,-0.00136730509689,1
k+1,2,NN,3,0.0027290239726,-0.00136730509689,1
letters,2,NNS,3,0.0027290239726,-0.00136730509689,1
location,2,NN,3,0.0027290239726,-0.00136730509689,1
m+n,2,NN,3,0.0027290239726,-0.00136730509689,1
matricial,2,JJ,3,0.0027290239726,-0.00136730509689,1
monic free,10,NN,3,0.0027290239726,-0.00136730509689,1
nN,2,JJ,3,0.0027290239726,-0.00136730509689,1
noncommuting,2,VBG,3,0.0027290239726,-0.00136730509689,1
none,2,NN,3,0.0027290239726,-0.00136730509689,1
norm,2,JJ,3,0.0027290239726,-0.00136730509689,1
notation,2,NN,3,0.0027290239726,-0.00136730509689,1
onto,2,IN,3,0.0027290239726,-0.00136730509689,1
operator pencil,10,NN,3,0.0027290239726,-0.00136730509689,1
orthogonal decomposition,10,NN,3,0.0027290239726,-0.00136730509689,1
pair,2,VBP,3,0.0027290239726,-0.00136730509689,1
pencils,2,NNS,3,0.0027290239726,-0.00136730509689,1
permutation,2,NN,3,0.0027290239726,-0.00136730509689,1
positivity,2,NN,3,0.0027290239726,-0.00136730509689,1
projection,2,NN,3,0.0027290239726,-0.00136730509689,1
prove item,10,NN,3,0.0027290239726,-0.00136730509689,1
respectively,2,RB,3,0.0027290239726,-0.00136730509689,1
results,2,NNS,3,0.0027290239726,-0.00136730509689,1
rotations,2,NNS,3,0.0027290239726,-0.00136730509689,1
s=1,2,NN,3,0.0027290239726,-0.00136730509689,1
satisfies,2,NNS,3,0.0027290239726,-0.00136730509689,1
self-contained,2,JJ,3,0.0027290239726,-0.00136730509689,1
self-contained proof,10,JJ,3,0.0027290239726,-0.00136730509689,1
sets,2,VBZ,3,0.0027290239726,-0.00136730509689,1
space,2,NN,3,0.0027290239726,-0.00136730509689,1
standard orthonormal,10,JJ,3,0.0027290239726,-0.00136730509689,1
subsection,2,NN,3,0.0027290239726,-0.00136730509689,1
subsets,2,NNS,3,0.0027290239726,-0.00136730509689,1
supported,2,VBD,3,0.0027290239726,-0.00136730509689,1
suppose,2,JJ,3,0.0027290239726,-0.00136730509689,1
suppose,2,VBP,3,0.0027290239726,-0.00136730509689,1
system,2,NN,3,0.0027290239726,-0.00136730509689,1
systems,2,NNS,3,0.0027290239726,-0.00136730509689,1
theory,2,NN,3,0.0027290239726,-0.00136730509689,1
0],2,CD,2,0.00181934931507,-0.000974139738616,1
1/2,2,CD,2,0.00181934931507,-0.000974139738616,1
2Re,2,CD,2,0.00181934931507,-0.000974139738616,1
AMS,2,NNP,2,0.00181934931507,-0.000974139738616,1
Additionally,2,NNP,2,0.00181934931507,-0.000974139738616,1
Anal,2,NNP,2,0.00181934931507,-0.000974139738616,1
BKU78,2,NNP,2,0.00181934931507,-0.000974139738616,1
C=,2,NNP,2,0.00181934931507,-0.000974139738616,1
California,2,NNP,2,0.00181934931507,-0.000974139738616,1
Cambridge,2,NNP,2,0.00181934931507,-0.000974139738616,1
Choose,2,NNP,2,0.00181934931507,-0.000974139738616,1
Choosing,2,NNP,2,0.00181934931507,-0.000974139738616,1
Consequently,2,NNP,2,0.00181934931507,-0.000974139738616,1
Control,2,NNP,2,0.00181934931507,-0.000974139738616,1
Effros-Winkler Theorem,10,NNP,2,0.00181934931507,-0.000974139738616,1
Equivalently,2,RB,2,0.00181934931507,-0.000974139738616,1
Farenick,2,NNP,2,0.00181934931507,-0.000974139738616,1
Free Spectrahedron,10,NNP,2,0.00181934931507,-0.000974139738616,1
Function,2,NNP,2,0.00181934931507,-0.000974139738616,1
HKM12,2,NNP,2,0.00181934931507,-0.000974139738616,1
HKM16,2,NNP,2,0.00181934931507,-0.000974139738616,1
Hilbert,2,NNP,2,0.00181934931507,-0.000974139738616,1
Hilbert space,10,NNP,2,0.00181934931507,-0.000974139738616,1
Hilbert-Schmidt,2,NNP,2,0.00181934931507,-0.000974139738616,1
Hilbert-Schmidt norm,10,JJ,2,0.00181934931507,-0.000974139738616,1
Invariant,2,NNP,2,0.00181934931507,-0.000974139738616,1
LMI defining,10,NNP,2,0.00181934931507,-0.000974139738616,1
LMI defining,10,VBG,2,0.00181934931507,-0.000974139738616,1
Likewise,2,NNP,2,0.00181934931507,-0.000974139738616,1
London,2,NNP,2,0.00181934931507,-0.000974139738616,1
Mathematical,2,NNP,2,0.00181934931507,-0.000974139738616,1
NSF,2,NNP,2,0.00181934931507,-0.000974139738616,1
NSF grant,10,NNP,2,0.00181934931507,-0.000974139738616,1
Noncommutative,2,NNP,2,0.00181934931507,-0.000974139738616,1
Pencil,2,NNP,2,0.00181934931507,-0.000974139738616,1
Positivstellensatz,2,NNP,2,0.00181934931507,-0.000974139738616,1
Proof,2,NNP,2,0.00181934931507,-0.000974139738616,1
Putinar,2,NNP,2,0.00181934931507,-0.000974139738616,1
Reinhardt,2,NNP,2,0.00181934931507,-0.000974139738616,1
Reinhardt domains,10,NNP,2,0.00181934931507,-0.000974139738616,1
Rotationally,2,NNP,2,0.00181934931507,-0.000974139738616,1
Rotationally invariant,10,NNP,2,0.00181934931507,-0.000974139738616,1
San,2,NNP,2,0.00181934931507,-0.000974139738616,1
Series,2,NNP,2,0.00181934931507,-0.000974139738616,1
Similarly,2,RB,2,0.00181934931507,-0.000974139738616,1
Society,2,NNP,2,0.00181934931507,-0.000974139738616,1
Spectrahedron,2,NNP,2,0.00181934931507,-0.000974139738616,1
Studies,2,NNP,2,0.00181934931507,-0.000974139738616,1
Taylor,2,NNP,2,0.00181934931507,-0.000974139738616,1
U=U,2,NNP,2,0.00181934931507,-0.000974139738616,1
Using,2,NNP,2,0.00181934931507,-0.000974139738616,1
Vinnikov,2,NNP,2,0.00181934931507,-0.000974139738616,1
William,2,NNP,2,0.00181934931507,-0.000974139738616,1
William Helton,10,NNP,2,0.00181934931507,-0.000974139738616,1
Winkler,2,NNP,2,0.00181934931507,-0.000974139738616,1
acts,2,NNS,2,0.00181934931507,-0.000974139738616,1
admissible chain,10,NN,2,0.00181934931507,-0.000974139738616,1
affine,2,NN,2,0.00181934931507,-0.000974139738616,1
algebra,2,NN,2,0.00181934931507,-0.000974139738616,1
analog,2,NN,2,0.00181934931507,-0.000974139738616,1
appear,2,VBP,2,0.00181934931507,-0.000974139738616,1
application,2,NN,2,0.00181934931507,-0.000974139738616,1
appropriate,2,VBP,2,0.00181934931507,-0.000974139738616,1
assume,2,JJ,2,0.00181934931507,-0.000974139738616,1
balanced implies,10,NNS,2,0.00181934931507,-0.000974139738616,1
block superdiagonal,10,JJ,2,0.00181934931507,-0.000974139738616,1
bound,2,NN,2,0.00181934931507,-0.000974139738616,1
bounded,2,VBD,2,0.00181934931507,-0.000974139738616,1
cf,2,NN,2,0.00181934931507,-0.000974139738616,1
characterize,2,VBP,2,0.00181934931507,-0.000974139738616,1
choose,2,JJ,2,0.00181934931507,-0.000974139738616,1
circular free,10,VBP,2,0.00181934931507,-0.000974139738616,1
circular subsets,10,NNS,2,0.00181934931507,-0.000974139738616,1
class,2,NN,2,0.00181934931507,-0.000974139738616,1
classical,2,JJ,2,0.00181934931507,-0.000974139738616,1
classify,2,VB,2,0.00181934931507,-0.000974139738616,1
closed matrix,10,NN,2,0.00181934931507,-0.000974139738616,1
commuting,2,VBG,2,0.00181934931507,-0.000974139738616,1
completes,2,NNS,2,0.00181934931507,-0.000974139738616,1
complex variables,10,NNS,2,0.00181934931507,-0.000974139738616,1
conclude,2,VBP,2,0.00181934931507,-0.000974139738616,1
conjugating,2,VBG,2,0.00181934931507,-0.000974139738616,1
consider,2,NN,2,0.00181934931507,-0.000974139738616,1
